 Flame speed (mixture-averaged      ) =   3.873e-01 m/s
 Flame speed (multicomponent        ) =   3.922e-01 m/s
 Flame speed (multicomponent + Soret) =   3.922e-01 m/s
  Grid,   Temperature,   Uvec,   CO,    CO2
   0.000e+00,   3.000e+02,   3.922e-01,   4.970e-11,   2.546e-12
   1.145e-03,   3.000e+02,   3.922e-01,   1.122e-09,   7.472e-11
   2.291e-03,   3.000e+02,   3.922e-01,   2.534e-08,   2.190e-09
   2.863e-03,   3.000e+02,   3.922e-01,   2.334e-07,   2.570e-08
   3.436e-03,   3.002e+02,   3.926e-01,   2.686e-06,   3.818e-07
   3.722e-03,   3.008e+02,   3.936e-01,   1.381e-05,   2.446e-06
   4.008e-03,   3.044e+02,   3.989e-01,   8.416e-05,   1.891e-05
   4.152e-03,   3.127e+02,   4.105e-01,   2.561e-04,   6.905e-05
   4.223e-03,   3.241e+02,   4.261e-01,   5.033e-04,   1.555e-04
   4.295e-03,   3.477e+02,   4.581e-01,   1.032e-03,   3.712e-04
   4.331e-03,   3.683e+02,   4.859e-01,   1.515e-03,   5.942e-04
   4.366e-03,   3.982e+02,   5.262e-01,   2.230e-03,   9.581e-04
   4.402e-03,   4.399e+02,   5.824e-01,   3.251e-03,   1.527e-03
   4.420e-03,   4.662e+02,   6.179e-01,   3.930e-03,   1.931e-03
   4.438e-03,   4.968e+02,   6.592e-01,   4.736e-03,   2.435e-03
   4.456e-03,   5.318e+02,   7.065e-01,   5.681e-03,   3.052e-03
   4.474e-03,   5.714e+02,   7.600e-01,   6.778e-03,   3.800e-03
   4.492e-03,   6.155e+02,   8.197e-01,   8.037e-03,   4.694e-03
   4.509e-03,   6.641e+02,   8.856e-01,   9.467e-03,   5.750e-03
   4.527e-03,   7.171e+02,   9.576e-01,   1.108e-02,   6.983e-03
   4.545e-03,   7.742e+02,   1.035e+00,   1.288e-02,   8.409e-03
   4.563e-03,   8.353e+02,   1.119e+00,   1.487e-02,   1.004e-02
   4.581e-03,   9.000e+02,   1.207e+00,   1.706e-02,   1.190e-02
   4.607e-03,   1.000e+03,   1.344e+00,   2.056e-02,   1.498e-02
   4.633e-03,   1.106e+03,   1.489e+00,   2.443e-02,   1.858e-02
   4.647e-03,   1.161e+03,   1.564e+00,   2.655e-02,   2.063e-02
   4.660e-03,   1.216e+03,   1.641e+00,   2.874e-02,   2.284e-02
   4.673e-03,   1.272e+03,   1.717e+00,   3.100e-02,   2.519e-02
   4.686e-03,   1.327e+03,   1.793e+00,   3.329e-02,   2.770e-02
   4.699e-03,   1.382e+03,   1.869e+00,   3.558e-02,   3.036e-02
   4.712e-03,   1.435e+03,   1.943e+00,   3.785e-02,   3.316e-02
   4.725e-03,   1.487e+03,   2.015e+00,   4.002e-02,   3.608e-02
   4.738e-03,   1.536e+03,   2.083e+00,   4.206e-02,   3.912e-02
   4.751e-03,   1.583e+03,   2.147e+00,   4.391e-02,   4.226e-02
   4.764e-03,   1.625e+03,   2.206e+00,   4.551e-02,   4.547e-02
   4.777e-03,   1.665e+03,   2.260e+00,   4.680e-02,   4.875e-02
   4.791e-03,   1.699e+03,   2.308e+00,   4.774e-02,   5.206e-02
   4.804e-03,   1.730e+03,   2.350e+00,   4.832e-02,   5.538e-02
   4.817e-03,   1.757e+03,   2.386e+00,   4.853e-02,   5.869e-02
   4.830e-03,   1.779e+03,   2.416e+00,   4.838e-02,   6.196e-02
   4.843e-03,   1.798e+03,   2.441e+00,   4.791e-02,   6.517e-02
   4.856e-03,   1.814e+03,   2.462e+00,   4.718e-02,   6.830e-02
   4.869e-03,   1.827e+03,   2.479e+00,   4.623e-02,   7.132e-02
   4.882e-03,   1.838e+03,   2.493e+00,   4.514e-02,   7.422e-02
   4.895e-03,   1.847e+03,   2.504e+00,   4.396e-02,   7.699e-02
   4.908e-03,   1.855e+03,   2.514e+00,   4.272e-02,   7.962e-02
   4.921e-03,   1.862e+03,   2.522e+00,   4.149e-02,   8.210e-02
   4.935e-03,   1.869e+03,   2.529e+00,   4.027e-02,   8.442e-02
   4.948e-03,   1.875e+03,   2.535e+00,   3.909e-02,   8.660e-02
   4.974e-03,   1.885e+03,   2.547e+00,   3.690e-02,   9.050e-02
   5.000e-03,   1.894e+03,   2.557e+00,   3.497e-02,   9.388e-02
   5.039e-03,   1.907e+03,   2.570e+00,   3.254e-02,   9.804e-02
   5.078e-03,   1.918e+03,   2.582e+00,   3.058e-02,   1.014e-01
   5.156e-03,   1.938e+03,   2.604e+00,   2.781e-02,   1.060e-01
   5.312e-03,   1.969e+03,   2.640e+00,   2.485e-02,   1.109e-01
   5.625e-03,   2.013e+03,   2.692e+00,   2.234e-02,   1.150e-01
   5.938e-03,   2.046e+03,   2.730e+00,   2.083e-02,   1.174e-01
   6.250e-03,   2.070e+03,   2.759e+00,   1.966e-02,   1.192e-01
   6.875e-03,   2.103e+03,   2.797e+00,   1.792e-02,   1.220e-01
   7.500e-03,   2.127e+03,   2.824e+00,   1.655e-02,   1.242e-01
   8.750e-03,   2.156e+03,   2.857e+00,   1.469e-02,   1.271e-01
   1.000e-02,   2.174e+03,   2.878e+00,   1.339e-02,   1.292e-01
   1.250e-02,   2.195e+03,   2.900e+00,   1.185e-02,   1.316e-01
   1.500e-02,   2.207e+03,   2.914e+00,   1.090e-02,   1.331e-01
   2.000e-02,   2.218e+03,   2.926e+00,   1.002e-02,   1.345e-01
   2.100e-02,   2.218e+03,   2.926e+00,   1.002e-02,   1.345e-01
