TITLE     = "kinetics example 1: constant-pressure ignition"
VARIABLES = 
"time (s)"
"Temperature (K)"
"Density (kg/m3)"
"Pressure (Pa)"
"H2"
"H"
"O"
"O2"
"OH"
"H2O"
"HO2"
"H2O2"
"C"
"CH"
"CH2"
"CH2(S)"
"CH3"
"CH4"
"CO"
"CO2"
"HCO"
"CH2O"
"CH2OH"
"CH3O"
"CH3OH"
"C2H"
"C2H2"
"C2H3"
"C2H4"
"C2H5"
"C2H6"
"HCCO"
"CH2CO"
"HCCOH"
"N"
"NH"
"NH2"
"NH3"
"NNH"
"NO"
"NO2"
"N2O"
"HNO"
"CN"
"HCN"
"H2CN"
"HCNN"
"HCNO"
"HOCN"
"HNCO"
"NCO"
"N2"
"AR"
"C3H7"
"C3H8"
"CH2CHO"
"CH3CHO"
ZONE T="zone1"
 I=101,J=1,K=1,F=POINT
DT=(  SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
0 1001 0.257549 101325 0.285714 0 0 0.142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
1e-05 1001 0.257549 101325 0.285714 3.17798e-10 3.13039e-11 0.142857 1.06841e-11 2.14004e-10 4.83547e-10 4.7587e-13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.8756e-25 6.34784e-24 2.68765e-25 1.13053e-25 1.05415e-16 1.43959e-23 4.29332e-31 1.37278e-17 3.19636e-25 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
2e-05 1001 0.257549 101325 0.285714 7.9871e-10 8.42847e-11 0.142857 2.80489e-11 1.06593e-09 1.42022e-09 2.51273e-12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.95633e-24 6.63527e-23 4.16978e-24 3.52603e-24 2.64965e-16 1.5013e-22 2.29231e-29 7.14628e-17 4.9565e-24 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
3e-05 1001 0.257549 101325 0.285714 1.54149e-09 1.66112e-10 0.142857 5.48695e-11 2.90668e-09 3.05495e-09 7.38313e-12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.99951e-24 3.02002e-22 2.20627e-23 2.70641e-23 5.11393e-16 7.26485e-22 3.18703e-28 1.97943e-16 2.62181e-23 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
4e-05 1001 0.257549 101325 0.285714 2.68914e-09 2.92538e-10 0.142857 9.63103e-11 6.27492e-09 5.76754e-09 1.7051e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.07018e-23 1.01689e-21 7.98703e-23 1.23105e-22 8.92146e-16 2.59616e-21 2.56462e-27 4.30883e-16 9.48984e-23 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
5e-05 1001 0.257549 101325 0.285714 4.46283e-09 4.87922e-10 0.142857 1.6036e-10 1.20037e-08 1.01452e-08 3.45515e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.79718e-23 2.96384e-21 2.42092e-22 4.32793e-22 1.4806e-15 7.93292e-21 1.55128e-26 8.28601e-16 2.87616e-22 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
6e-05 1001 0.257549 101325 0.285714 7.20458e-09 7.89938e-10 0.142857 2.59376e-10 2.13814e-08 1.7096e-08 6.45787e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9222e-23 7.98704e-21 6.6733e-22 1.31669e-21 2.39022e-15 2.21393e-20 7.91408e-26 1.48128e-15 7.92772e-22 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
7e-05 1001 0.257549 101325 0.285714 1.14434e-08 1.25685e-09 0.142857 4.12481e-10 3.64008e-08 2.80235e-08 1.14399e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.6664e-23 2.05655e-20 1.7418e-21 3.67162e-21 3.79651e-15 5.84466e-20 3.6237e-25 2.52835e-15 2.06913e-21 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
8e-05 1001 0.257549 101325 0.285714 1.79975e-08 1.9788e-09 0.142857 6.49274e-10 6.01446e-08 4.50975e-08 1.95272e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.38224e-23 5.15181e-20 4.40002e-21 9.69533e-21 5.97095e-15 1.48979e-19 1.5459e-24 4.18547e-15 5.22669e-21 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
9e-05 1001 0.257549 101325 0.285714 2.81333e-08 3.09525e-09 0.142857 1.01561e-09 9.73841e-08 7.16723e-08 3.24675e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.16538e-22 1.26888e-19 1.08939e-20 2.47252e-20 9.33368e-15 3.71306e-19 6.29133e-24 6.78617e-15 1.29401e-20 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
