T, K(cr), K(L), KOH(a), KOH(b), KOH(L), K2O2(s), K2O(s), KO2(s), H2O(s), H2O(L), Electron, H, H+, H-, HO2, H2, H2+, H2-, H2O, H2O+, H2O2, H3O+, K, K+, KH, KO, KO-, KOH, KOH+, K2, K2O2H2, O, O+, O-, OH, OH+, OH-, O2, O2+, O2-, O3, 
350.0, 0.0, 0.0, 1.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18119557133679123, 1.0746606000566238e-46, 1.2219875381902293e-30, 1.9168381803289414e-180, 2.1965235814593969e-66, 1.4732685986028918e-72, 0.83500000000000008, 5.0117327874750841e-176, 1.7702406139186608e-82, 0.58880442866320881, 5.7538836297951728e-136, 1.3621887808384272e-53, 2.2594023146033986e-82, 3.3884157980899922e-30, 1.0746606000566555e-46, 7.7808513958938209e-37, 9.6156537586798968e-63, 2.3050883616010801e-79, 5.0182037665733667e-21, 4.3079438002067771e-82, 2.013781218293608e-55, 9.1759767342713785e-21, 1.294275272494653e-68, 1.2187462769366271e-218, 5.3235474957811642e-94, 1.1967307984825042e-39, 3.7997121818673079e-179, 3.1643401322661821e-60, 2.1114831980411431e-68, 4.8544370995385097e-196, 3.038474866631721e-108, 4.5338164010078664e-127, 
400.0, 0.0, 0.0, 1.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.417919858392539e-40, 1.5439098298173305e-26, 3.586100097565989e-158, 2.4619443338100468e-57, 5.016812867493473e-63, 0.8350000000000003, 1.4522441447519342e-154, 1.1509594738411569e-71, 0.7699999999999998, 1.8984221780270743e-119, 7.1516653898399142e-47, 4.7156046535129439e-73, 3.3510573760174303e-25, 3.4179198584008212e-40, 3.0874370690991509e-31, 1.9399708551539266e-53, 1.5339593191080697e-67, 2.0456272136638788e-17, 2.8359697383494257e-71, 1.6750423241354954e-46, 3.750930682753133e-17, 2.9109791414666216e-59, 4.2911092262829742e-191, 5.5884362581066943e-81, 3.0235695156624653e-34, 7.849430543193796e-157, 8.2739761797606204e-52, 4.5761893669110265e-59, 2.9000264681909591e-171, 2.2223257842226207e-93, 1.8830204465651289e-110, 
450.0, 0.0, 0.0, 1.0299999999999485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.821186835232323e-35, 2.3065539847824454e-23, 7.0028180241213571e-141, 2.6936590672845435e-50, 8.3550306093898866e-56, 0.83499999999999996, 6.8967240581177463e-138, 3.0776185776030629e-63, 0.76999999999999991, 1.0457072728889082e-106, 8.0368613288636993e-42, 6.726023717690843e-66, 2.6155188014144859e-21, 3.8211868354705647e-35, 7.4050450317616171e-27, 2.8148179318312378e-46, 2.1008486975114374e-58, 1.1563703369358837e-14, 6.2441181936827103e-63, 1.6384303715929646e-39, 2.0068121664551005e-14, 4.1564088592395946e-52, 8.3531968864404151e-170, 5.9143743519262462e-71, 3.7919357999546392e-30, 1.3515796121635268e-139, 2.3821234931548896e-45, 5.1843236332372925e-52, 3.2339322580297578e-152, 5.232688605899798e-82, 8.1063622027520841e-98, 
500.0, 0.0, 0.0, 1.0299999999925753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1394073730319584e-31, 8.053839488547991e-21, 4.9826121669272486e-127, 1.1195983107463117e-44, 5.0895125198069068e-50, 0.83500000000000008, 1.5713640065433472e-124, 1.6393717688189001e-56, 0.77000000000000002, 1.6927492708183198e-96, 8.9199349182470279e-38, 3.6455088645425145e-60, 3.2460223695500781e-18, 4.1394073764483381e-31, 2.2499596785455309e-23, 1.4620425882044206e-40, 3.9968175066710619e-51, 1.7820461674684006e-12, 2.9653698431394432e-56, 5.8182519592415506e-34, 2.8213688694515341e-12, 2.2476639817265794e-46, 9.5131580709466574e-153, 6.0915660622947077e-63, 7.2951262276889349e-27, 8.7316260111377062e-126, 3.4163870608686387e-40, 2.3417762575974103e-46, 5.959597962969101e-137, 6.5021773513653594e-73, 1.0793230335997261e-87, 
550.0, 0.0, 0.0, 0.0, 1.029999999652772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8335990759057419e-28, 9.7631705775397687e-19, 1.1694892221985646e-115, 4.1219366402769831e-40, 2.7917039132685814e-45, 0.83499999999999952, 1.4441478179711831e-113, 4.8424590607577319e-51, 0.77000000000000102, 4.1289384249184856e-88, 1.838238983401892e-34, 1.9198066525280883e-55, 9.6492839085419395e-16, 7.833599128717604e-28, 1.3892862514330724e-20, 6.1397293269825788e-36, 2.9535624048667399e-45, 9.7237825181255935e-11, 8.2384396052272948e-51, 1.5429768574418461e-29, 1.2499462021191344e-10, 1.1211770959178927e-41, 9.434295509538478e-139, 2.0602521475971455e-56, 3.5836692307424628e-24, 1.8992472940649589e-114, 5.2807741598428021e-36, 1.0125137091549876e-41, 2.0334112541578941e-124, 1.6988951342074773e-65, 2.1420764507320149e-79, 
600.0, 0.0, 0.0, 0.0, 1.0299999923053713, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1014044727266571e-25, 5.3499726136813282e-17, 3.6812978622621654e-106, 2.5261159231041863e-36, 2.5142235259692579e-41, 0.83499999999994856, 2.071438884234923e-104, 1.677271386400165e-46, 0.77000000000010282, 4.2225801792521261e-81, 1.0712993285450453e-31, 1.7181427875415393e-51, 1.0314511561845494e-13, 4.1014046300557903e-25, 2.7287107769156095e-18, 4.1003507403660962e-32, 2.0547125963509377e-40, 2.5550718804319997e-09, 2.7842274096685092e-46, 6.4502200180081524e-26, 2.5697267512789529e-09, 9.3423345077417895e-38, 4.6147858944565815e-127, 5.5029693790320806e-51, 6.3153301194783487e-22, 5.6221951916936208e-105, 1.5730386917203272e-32, 7.5161303880824121e-38, 6.0218328915249351e-114, 2.5078145034393776e-59, 1.8084526670434684e-72, 
650.0, 0.0, 0.0, 0.0, 1.0299998967757884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.1473973976677885e-23, 1.591016469247874e-15, 4.1151711813292947e-98, 3.977866034129345e-33, 5.6354047343236088e-38, 0.83499999999738661, 1.1864665915235399e-96, 1.1408451714358372e-42, 0.77000000000522584, 3.6870505977423468e-75, 2.3622876832368049e-29, 3.8575607176193771e-48, 5.2254568665326509e-12, 8.1473987448964074e-23, 2.3123824616680422e-16, 6.921459939792695e-29, 2.4644681368325963e-36, 3.9798645825881086e-08, 1.8956267257826213e-42, 7.0551345907743476e-23, 3.1710170084496075e-08, 1.9622767654426317e-34, 3.7099663747200554e-117, 2.1259310978119699e-46, 5.0529702173595532e-20, 5.9744931939255676e-97, 1.3468305862153219e-29, 1.4359277777722106e-34, 4.5249069286456981e-105, 4.1359572510165887e-54, 1.3426673329824178e-66, 
700.0, 0.0, 0.0, 0.0, 0.0, 1.0299991263880524, 0.0, 0.0, 0.0, 0.0, 0.0, 7.3909879429889289e-21, 2.9260978577302642e-14, 3.4107301055691076e-91, 2.1076287987261167e-30, 4.231569893376373e-35, 0.83499999992949636, 5.5278714485975645e-90, 2.1148350491824462e-39, 0.77000000014096914, 4.7571214675695032e-70, 2.4264017627214733e-27, 2.9876056615463012e-45, 1.4095937686999569e-10, 7.3909921806891367e-21, 9.6946472268751125e-15, 3.7930877707891132e-26, 6.9561659247433264e-33, 3.9323422474630729e-07, 3.5812791135282745e-39, 2.4668928247819847e-20, 2.4011837704535369e-07, 1.3941907719128381e-31, 1.2061894322928777e-108, 1.7579233395465184e-42, 2.1723351873667007e-18, 4.7456853944318306e-90, 4.2355856250424417e-27, 9.4299108197344207e-32, 1.9335688640140974e-97, 1.1914254374104688e-49, 1.4730010622082872e-61, 
750.0, 0.0, 0.0, 0.0, 0.0, 1.0299949619363624, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5509389043852474e-19, 3.6627715364937561e-13, 3.5527218790102239e-85, 4.6349740291865468e-28, 1.3237796032173793e-32, 0.83499999886972576, 3.487285837335794e-84, 1.3752484562489212e-36, 0.77000000225995402, 1.3396170415972789e-65, 1.3520919794792021e-25, 9.9578590204139534e-43, 2.2597265940950204e-09, 3.5509448378090782e-19, 2.2779032386656507e-13, 8.3098614037421234e-24, 6.0215172012680042e-30, 2.654459555781734e-06, 2.4038725262679313e-36, 3.3535533655037239e-18, 1.1906720636810114e-06, 4.1580522924098292e-29, 3.0329175568999332e-101, 4.1988500792867779e-39, 5.6784547488418945e-17, 4.7672564117478858e-84, 5.928728613336789e-25, 2.6325973837210153e-29, 8.3914255387751296e-91, 8.422624793975655e-46, 3.4944715213765543e-57, 
800.0, 0.0, 0.0, 0.0, 0.0, 1.0299766994476807, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0466592336814718e-17, 3.3532129656352828e-12, 6.6663093034852451e-80, 5.1325726114474362e-26, 2.0319272580705076e-30, 0.83499998743764459, 4.2118090064039026e-79, 3.9290008298727334e-34, 0.77000002511781973, 1.064389172417802e-61, 4.5826240189108471e-24, 1.6266613866692053e-40, 2.5114281887626296e-08, 1.0466636609043127e-17, 3.5383503334493494e-12, 9.1404910038184635e-22, 2.1712647904414311e-27, 1.3905288530748586e-05, 7.1534576001693926e-34, 2.3690163792493301e-16, 4.685072983906494e-06, 6.1211842828118181e-27, 9.2555225470581708e-95, 3.7599269707206792e-36, 9.9030352159558586e-16, 8.6693003493757366e-79, 4.4218682199264451e-23, 3.6646574514841821e-27, 5.5139995261546694e-85, 1.9547772496459099e-42, 2.3856628446949372e-53, 
