z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.046263457675411783, 0.0, 373.69999999999999, 0.86461155118118416, 0.022521325730396266, 2.4421270757411864e-11, 7.4598472041441296e-12, 0.14733769892011411, 7.6703227535884872e-10, 0.048027545716510536, 6.9824756454524445e-06, 2.0321227984271206e-05, -2.5672861000061525e-16, 1.0472165028819501e-18, 2.8519448054921138e-15, 2.6266530769025712e-17, 1.8204538003780743e-08, 0.092023376596092402, 0.011643719646326491, 0.004890389793079067, 1.2977818480655426e-12, 0.00024968324893733711, 2.9334624607846553e-14, 1.3827477462259483e-08, 3.9929392509928711e-05, -6.4503068842129457e-19, 8.7652885336694819e-05, 1.6037999984667429e-14, 0.00033972823151395977, 7.0360495482374314e-11, 0.00017993633690265877, 1.3636641519098633e-13, 3.8905714267430434e-05, 1.8738449841628691e-08, 5.8124287338684456e-16, 5.171829043081275e-16, 1.2829940622357098e-11, 1.4120447528450312e-07, 9.149803954635121e-20, 4.7958396221771702e-09, 6.3377805415524183e-08, 2.9445002035932411e-09, 2.8270268033391618e-13, 3.9480988776495253e-17, 1.2522220250676684e-07, 1.2785312195204423e-12, 6.8019826498120658e-18, 1.0468236379627679e-09, 1.4155221301333545e-11, 1.4562625686737872e-08, 4.4855937000097765e-14, 0.6725897622274738, 4.3813873126405291e-31, 1.5478363802845097e-11, 1.7875352548673603e-06, 7.6796588088948619e-12, 8.4947441059706802e-07, 
7.8125000000000002e-05, 0.052004531029697022, 0.0, 419.55352140000002, 0.7691616314130918, 0.023152343237520769, 2.4860411628617438e-11, 7.957124774279698e-12, 0.14387180533197907, 8.1873812725303891e-10, 0.052331817782270328, 7.6999481263135869e-06, 2.242338177446213e-05, -4.445288414476495e-19, -1.8434391501202873e-22, 1.2532823025441525e-15, 2.6012385656007042e-17, 1.992300859251098e-08, 0.089534662635224485, 0.012844763950107618, 0.0055370501931530673, 1.4703732552755778e-12, 0.00028242428488360225, 2.9700020877143773e-14, 1.5659427705570671e-08, 4.5271316120771508e-05, 6.9356574238043763e-21, 9.8687429858563077e-05, 1.5281861100446491e-14, 0.00038375091469421358, 8.0214427039930338e-11, 0.00020533162771528736, 1.525948867690818e-13, 4.4839970713928966e-05, 2.1596613643274256e-08, 3.6503177709492142e-16, 1.5915385369417662e-15, 1.3614605435193328e-11, 1.5432648724479485e-07, 9.1933411793156913e-20, 5.2943286980248795e-09, 7.1018327417766009e-08, 3.3384333979513431e-09, 3.1748763955629133e-13, 1.1548427593631983e-19, 1.4182290411621401e-07, 1.4535041892023436e-12, -3.6534230039880978e-21, 1.1862673849079198e-09, 1.6044729438822772e-11, 1.650241174971762e-08, 5.4321865973134365e-14, 0.67163358299643705, 4.4420239837333106e-31, 1.8288693305518042e-11, 2.1131170112800182e-06, 8.8604796577945888e-12, 9.8022212389458373e-07, 
0.00015625, 0.057756706724734257, 0.0, 465.4070428, 0.69255829663107638, 0.023758005831455008, 7.1818233755027339e-11, 1.3596104970046236e-11, 0.14034708721415179, 1.0962021381909221e-09, 0.056608675507386609, 8.8789861898308858e-06, 2.4348135171320431e-05, 7.2515906201290774e-22, 2.4390927777504004e-24, 2.7433860935497503e-15, 6.1124162316371927e-17, 3.4177641290755194e-08, 0.087021491698022466, 0.014076471715825267, 0.0062128468444746119, 2.3826901129088266e-12, 0.00031632141188011275, 4.7068558178995792e-14, 2.0537773945646861e-08, 5.0817220910595695e-05, 7.3037092616801874e-20, 0.00011017103904374655, 4.0632126948062397e-14, 0.00042958471755175694, 1.2037434610072726e-10, 0.00023207151667859507, 2.7454909025222605e-13, 5.1114333089041855e-05, 2.4618406502606871e-08, 2.5029048605309256e-16, 1.0282846716851214e-15, 1.4509071433199629e-11, 1.6744932744425316e-07, 6.1778342197736662e-19, 6.4570491794574024e-09, 7.8183808043964357e-08, 3.7508789950120946e-09, 3.5593040786015706e-13, 2.3434009600528824e-22, 1.5901508380201911e-07, 1.6223396023241991e-12, 1.3634331799036587e-23, 1.3321889257076255e-09, 1.8022292806249138e-11, 1.8532299711574998e-08, 6.4613841245720616e-14, 0.67074801164473108, 4.442241275285214e-31, 3.7612271041302038e-11, 2.468070764785377e-06, 2.4253024546119705e-11, 1.1186570362840279e-06, 
0.00023437499999999999, 0.063416557279291713, 0.0, 510.43116759999998, 0.63074812337780695, 0.024343057104672699, 2.2466464113802681e-10, 2.7511402586436551e-11, 0.136750953140403, 1.7469623627172601e-09, 0.060880494095662603, 1.0452402046353364e-05, 2.6134459794747663e-05, 1.3628817741385191e-24, 2.0449912306541025e-23, 7.504777696489898e-15, 1.8894889053456905e-16, 6.5586699146963866e-08, 0.084474212443609531, 0.015342905858904802, 0.0069202221231348194, 4.6601761361816472e-12, 0.00035148055549289597, 9.2155309741281953e-14, 2.9944769908450132e-08, 5.6581722172760319e-05, 6.2151296961279649e-19, 0.00012214435935602923, 1.2012370495384649e-13, 0.00047739318213367582, 2.2711405551070495e-10, 0.00026025802891776339, 5.6994948190803249e-13, 5.7753176446332616e-05, 2.7815434004302137e-08, 1.7406000671560869e-16, 1.2490280929857976e-15, 1.5664371557352468e-11, 1.806359384893841e-07, 3.7399957178754164e-18, 8.3103564950956784e-09, 8.4869544200698149e-08, 4.1833389221737482e-09, 4.0423516432326524e-13, 4.0658424066689144e-21, 1.7685688140278661e-07, 1.7734886975132237e-12, 3.3130686463281788e-24, 1.4851190898552968e-09, 2.0095091064538939e-11, 2.0659668092519451e-08, 7.8241484690371773e-14, 0.66992123468968068, 4.4423286746194072e-31, 8.5641995610995017e-11, 2.8545606352053447e-06, 7.3544006339724161e-11, 1.265320280810459e-06, 
0.00031250000000000001, 0.06902907827784209, 0.0, 554.99322565, 0.57946405942432333, 0.02491055594592869, 6.8505914956891456e-10, 5.9226267019558681e-11, 0.13307514734154371, 2.9246686646943875e-09, 0.065160857267123146, 1.2394356799365224e-05, 2.7793400801418513e-05, -6.9353729215348583e-27, 1.9251010789867724e-22, 2.1826103536079984e-14, 6.1089820951375369e-16, 1.2548254101708165e-07, 0.081886665520633881, 0.016646260914690222, 0.0076607304771057119, 9.730268215879024e-12, 0.00038795169535436918, 1.9849674147016856e-13, 4.4561527361380999e-08, 6.2566372213201257e-05, 4.6722262088279499e-18, 0.00013463235763748553, 3.5519332180408307e-13, 0.00052727766390779824, 4.7317124003819421e-10, 0.00028996063143249561, 1.2190011930757354e-12, 6.4774424514484546e-05, 3.1196025462937891e-08, 1.0045810438608833e-16, 7.0684074843735179e-15, 1.7283782313054529e-11, 1.9392334260717069e-07, 1.9813658070339353e-17, 1.0961108762760497e-08, 9.0966038836543583e-08, 4.6367857952627159e-09, 4.7116013172126006e-13, 2.6175991308995517e-20, 1.9538392450742103e-07, 1.8833210500853421e-12, 2.8613916014103153e-23, 1.645400506298468e-09, 2.2267750981902211e-11, 2.2889259006001987e-08, 9.7163079607751474e-14, 0.66914701031293955, 4.4423719125402043e-31, 1.8787158168936224e-10, 3.2744566052672454e-06, 2.1929780493960814e-10, 1.4206119848448771e-06, 
0.00039062500000000002, 0.074651215438240881, 0.0, 599.55528370000002, 0.53582327895230142, 0.025462644221602188, 2.0090027244020419e-09, 1.3490620873527315e-10, 0.12931556842735931, 4.9733877513269404e-09, 0.069457848340525333, 1.4691558242999833e-05, 2.9321691178302556e-05, 9.4465522155411345e-29, 1.7327251431684276e-21, 6.5429489043150063e-14, 1.9595126363046569e-15, 2.3478418500165158e-07, 0.079255743699846323, 0.017987737622090685, 0.0084354019515084176, 2.104717979952012e-11, 0.00042573932656989863, 4.5943726894494346e-13, 6.5197411237426452e-08, 6.8757118272531111e-05, 2.7327964468151338e-17, 0.00014765102786521486, 1.0290065408222557e-12, 0.0005793022409749626, 1.0328008475108175e-09, 0.0003212294427294304, 2.6280686087496194e-12, 7.2192581079404635e-05, 3.4766568979799543e-08, 9.6367241596722516e-17, 1.5837588612514682e-14, 1.9643510154834578e-11, 2.0733276914574195e-07, 7.7371576914794655e-17, 1.4579456051842861e-08, 9.6284028116758515e-08, 5.1118770685917745e-09, 5.7132981904212678e-13, 1.2298380833102854e-19, 2.1461729263118449e-07, 1.9191644614319008e-12, 1.972781947688487e-22, 1.8132676520225509e-09, 2.454340951313652e-11, 2.52242610787888e-08, 1.2553405224935535e-13, 0.6684199475071273, 4.442447473611985e-31, 3.8423006059749441e-10, 3.7294496154933483e-06, 6.3019818494663355e-10, 1.5848457194745805e-06, 
0.00046874999999999998, 0.080247387313358176, 0.0, 643.83429379999995, 0.49845677108156194, 0.026001352113364459, 5.6654518693661906e-09, 3.2825737782437041e-10, 0.1254663157785143, 8.557855062735351e-09, 0.073779958725561701, 1.7328325940248493e-05, 3.0707469212295709e-05, 2.7719604094579501e-27, 1.5299139076186435e-20, 2.0212574860255049e-13, 6.2267938016028893e-15, 4.3041036084100391e-07, 0.076577238384855445, 0.019369044395883335, 0.0092455999126671729, 4.700525996897162e-11, 0.00046483533975183575, 1.1385132658776349e-12, 9.2548980336701245e-08, 7.5123600939357797e-05, 1.3725563005901703e-16, 0.00016122198393183327, 2.9138874441788836e-12, 0.00063355187436939958, 2.3070572368639306e-09, 0.00035412928563165739, 5.7615919112586998e-12, 8.0028142533654367e-05, 3.8535840868259405e-08, 5.7841348851238376e-17, 3.3090116101604747e-14, 2.3126462109683295e-11, 2.2088746516119376e-07, 3.9148080586801063e-16, 1.9396721819433863e-08, 1.0056746760633246e-07, 5.6094826325784869e-09, 7.2870115371976909e-13, 5.0295141514809989e-19, 2.3458596023236247e-07, 1.8596590315837248e-12, 1.2788208864204031e-21, 1.9890377013892929e-09, 2.6926290998901655e-11, 2.7668881188967654e-08, 1.7032088386319831e-13, 0.66773639308647115, 4.442465774712464e-31, 7.1815694318625944e-10, 4.2215220376285191e-06, 1.7364844082890594e-09, 1.7584350007703473e-06, 
0.00054687500000000005, 0.085839843245616165, 0.0, 688.01223379999999, 0.4659822499685573, 0.026528197214148792, 1.5263926555246392e-08, 8.4205009807094619e-10, 0.12152392092457392, 1.4864772887862268e-08, 0.078132997039301155, 2.0268311484869479e-05, 3.1928653945045829e-05, 9.9228689670478023e-26, 1.4044972516402453e-19, 6.3782535619029473e-13, 1.9577934365713991e-14, 7.7616062400665754e-07, 0.073848655012482972, 0.020791328151971249, 0.010092418699101203, 1.0774945294581951e-10, 0.00050516862763890099, 2.9709935376098471e-12, 1.2619010783159224e-07, 8.1604146450579596e-05, 6.3079931496015438e-16, 0.00017536260421277015, 8.0453359448523692e-12, 0.00069009156712022133, 5.1597866154716029e-09, 0.00038871533406309721, 1.300861472673156e-11, 8.8304545476054788e-05, 4.2513282575640053e-08, 7.2423678223307469e-17, 6.8675456630123715e-14, 2.8255286206768581e-11, 2.3460291741358071e-07, 1.4124037977124857e-15, 2.5697948831146712e-08, 1.034943363475355e-07, 6.1303128529355182e-09, 9.80394670094854e-13, 2.2663028596187527e-18, 2.5531214101139245e-07, 1.7229692027315592e-12, 1.3035297613806804e-20, 2.1729954979697696e-09, 2.9420121843371974e-11, 3.0226522208180201e-08, 2.4365974454630018e-13, 0.66709270022507139, 4.4422399335417523e-31, 1.1949755696825234e-09, 4.752616193936814e-06, 4.5286493324686302e-09, 1.9417782891117737e-06, 
0.00062500000000000001, 0.09143315047680757, 0.0, 732.12843269999996, 0.43747630768406659, 0.027044461066166266, 3.8581197511168515e-08, 2.1896668174884864e-09, 0.11748516776901947, 2.5940559291076595e-08, 0.082521488875820989, 2.3433196203680802e-05, 3.2951376474321034e-05, 1.8227024003778483e-24, 1.1331997654530253e-18, 2.0085892921898705e-12, 6.0396943625617048e-14, 1.3787593516874378e-06, 0.071067729548587533, 0.022255571283375505, 0.010976889931289804, 2.4972237146742834e-10, 0.00054657474904931821, 7.8902488283452997e-12, 1.6438558602534466e-07, 8.8096514920379561e-05, 2.6055255316712125e-15, 0.00019009025037819722, 2.1437973394805925e-11, 0.00074897920386610259, 1.1292021074847022e-08, 0.00042504039872808604, 3.0412624320535697e-11, 9.7054882122407383e-05, 4.6712213825274259e-08, 6.8258438216962763e-17, 1.4129877914030883e-13, 3.5741581534361156e-11, 2.4849122649928481e-07, 4.7486536309621497e-15, 3.3800990907208401e-08, 1.0470291800138393e-07, 6.675051568003161e-09, 1.3807882493303454e-12, 7.5928851536325104e-18, 2.7681630605233521e-07, 1.5652709623534592e-12, 7.9872148953730535e-20, 2.365476066331112e-09, 3.2029224555852695e-11, 3.2900394995027143e-08, 3.6633799254831714e-13, 0.66648662424868144, 4.4422759129772752e-31, 1.7140157236619364e-09, 5.3247593944405132e-06, 1.0929139020885852e-08, 2.1353070427936191e-06, 
0.00070312499999999997, 0.097031227484616331, 0.0, 776.21706619999998, 0.41223664057469367, 0.027551244866497526, 8.9828848425336252e-08, 5.5092770916825398e-09, 0.11334790156013977, 4.5044985270040062e-08, 0.086949004648500819, 2.6683370421911455e-05, 3.372648034891144e-05, 2.8460757822685532e-23, 8.1838973749784954e-18, 6.1219970899912187e-12, 1.8012899366874946e-13, 2.4077196945511854e-06, 0.068232875518074762, 0.023762625252082087, 0.011900011099925429, 5.7183613500837025e-10, 0.00058873195470899339, 2.0494306598741693e-11, 2.0455987624837976e-07, 9.445039825535215e-05, 9.8104398714232874e-15, 0.00020542410851322161, 5.4437233889207714e-11, 0.00081026562983712604, 2.3723102569548815e-08, 0.00046315359347080424, 7.2759853780249023e-11, 0.00010632995727438964, 5.1154830776821495e-08, 1.0205225171774483e-16, 2.8442839397017268e-13, 4.6528595426335702e-11, 2.62562201357775e-07, 1.4189328178050673e-14, 4.4007500565401128e-08, 1.0384785537464813e-07, 7.2443755719782898e-09, 2.0035283139739808e-12, 2.4232513010299078e-17, 2.9911840914379337e-07, 1.4315175539965883e-12, 4.5989031353998326e-19, 2.5669510141172078e-09, 3.475991081727553e-11, 3.5693592131150403e-08, 5.7401582798464266e-13, 0.66591568267640566, 4.4423953348635943e-31, 2.080772286628122e-09, 5.940111071014459e-06, 2.381757812722318e-08, 2.339483185979974e-06, 
