z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.0, 2.3400029131754931, 1.9608843828003052e-212, 300.0, 0.84946275071880739, 0.29585798816563552, 1.4591969510145477e-14, -2.0219465512193875e-15, 0.14792899408285068, -1.2014747527819026e-14, 4.5472788702646596e-17, 2.0368742068316038e-16, 7.8347565082820067e-16, -5.6888863072521284e-15, 1.7147702287944614e-14, -9.8965327714347283e-15, 6.4866924407794498e-15, 8.1652987118075204e-30, -2.3151829872031869e-15, 1.4995289840320439e-15, 1.5314158169021451e-16, 3.6953314396092448e-16, 0.55621301775150445, 
0.001, 2.3400029131656055, 4.8900569386559958e-210, 300.00000000025693, 0.84946275071809485, 0.2958579881656378, 8.3136143361968356e-18, -2.5979061213481565e-15, 0.14792899408281979, 1.9925053272760615e-16, 3.7986578973027344e-15, 1.8258880162714678e-14, 7.8402915365784418e-16, -5.0424881094624599e-15, 1.1226031389557485e-15, -9.4355381640854686e-15, 6.0255153284897307e-15, 7.4296213875709962e-28, 1.3100395883351149e-14, 1.4995294663167858e-15, 1.5314172745220937e-16, 3.7170792115332412e-16, 0.55621301775151422, 
0.0057499999999999999, 2.340002913164569, 5.1599901467652097e-210, 300.0000000002471, 0.84946275071812138, 0.29585798816563885, -1.4133106783900432e-19, -4.0038547105204073e-15, 0.14792899408282187, 8.7514855976959104e-18, 4.5940441741644788e-15, 1.6777222735732522e-14, 7.8636095278864169e-16, -3.1331187025933327e-15, 1.6275241904589359e-17, -7.6575973750341183e-15, 4.2471465603689718e-15, -1.2629366405128669e-29, 1.2298193683830116e-14, 1.4995321596232623e-15, 1.5314174021744395e-16, 3.7183366380021696e-16, 0.55621301775151333, 
0.010500000000000001, 2.3400029131644908, 5.1917065311785937e-210, 300.00000000022158, 0.84946275071819222, 0.29585798816564013, -2.477820249673637e-19, -4.6091550996941218e-15, 0.14792899408282537, -6.0155082150804614e-18, 4.0440479361718855e-15, 1.419885467251912e-14, 7.885302887092978e-16, -1.9467252679423546e-15, 2.3600029834402782e-19, -6.2146748401741059e-15, 2.8038762351603573e-15, -2.2143648102538833e-29, 1.1127457362891722e-14, 1.4995349449543335e-15, 1.5314174040211038e-16, 3.7181265081620552e-16, 0.55621301775151244, 
0.01525, 2.340002913164287, 5.1920491137736552e-210, 300.00000000019975, 0.84946275071832678, 0.29585798816557307, -2.2796264755580719e-19, -4.7470108589992759e-15, 0.14792899408284294, -6.5356898997223969e-18, 3.4456477909872727e-15, 1.1825793328829708e-14, 7.905811855934434e-16, -1.2095620503447893e-15, 3.4772666974981468e-21, -5.0436416835543585e-15, 1.632561359064622e-15, -2.0372455431648398e-29, 1.039028315230804e-14, 1.4995378207912637e-15, 1.5314174038868455e-16, 3.7179031982359829e-16, 0.55621301775156495, 
0.02, 2.3400029131385973, 5.1921094716664466e-210, 300.00000000022237, 0.84946275072820587, 0.29585798815645931, -2.0378730601852752e-19, -4.6209222513514557e-15, 0.1479289940848143, -6.3718402955644975e-18, 2.8661033199101862e-15, 9.7034655733424856e-15, 7.9257120784547449e-16, -7.5134899849184473e-16, 1.0679315178336986e-22, -4.092935430064049e-15, 6.8176257189420678e-16, -1.8211966056731853e-29, 9.9320113078293333e-15, 1.4995407821271419e-15, 1.5314174038616984e-16, 3.7176843526174988e-16, 0.55621301775870968, 
0.020961165881241427, 2.3400029127034752, 5.1921100863128758e-210, 300.00000000143393, 0.84946275088779866, 0.29585798800704227, -1.9852392388674319e-19, -4.5726273936552951e-15, 0.14792899411710744, -6.3060412923722765e-18, 2.9568139956108648e-15, 9.2977246809887865e-15, 7.9454325570286214e-16, -6.6890032594210485e-16, 6.0549082950125792e-23, -3.9092925509710913e-15, 4.98067984539286e-16, -1.7741590835584976e-29, 9.8495246750376191e-15, 1.4995413861404868e-15, 1.5314174041694059e-16, 3.717640234219597e-16, 0.55621301787583399, 
0.021922331762482854, 2.3400029004982508, 5.1921101036975838e-210, 300.00000006155079, 0.84946275529006365, 0.29585798381618494, -1.7477613234900658e-19, -3.7594201233429092e-15, 0.14792899502292661, -5.1837854142392604e-18, 1.913587473651626e-14, 9.9727833473570127e-15, 9.3122876227958928e-16, -5.9546515114703282e-16, 5.7391644052750484e-23, -3.7338462336966807e-15, 3.2258702578316816e-16, -1.5619313837309068e-29, 9.7760677607910318e-15, 1.4995420962034615e-15, 1.5314174146359981e-16, 3.7175963233159103e-16, 0.55621302116085425, 
0.022402914703103568, 2.3400027736153217, 5.1921100865938396e-210, 300.00000118440926, 0.8494628008271321, 0.29585793916549319, 2.3889657445965636e-19, 1.2898358873205421e-14, 0.14792900467319881, 1.8345578047902134e-17, 5.0001032708359223e-13, 4.3483200576462763e-14, 5.3598523724758905e-15, -5.6089576423193187e-16, 5.7035393684838421e-23, -3.6481595481122225e-15, 2.3687590081524112e-16, 2.1349453461242072e-29, 9.7415259087254732e-15, 1.4995460731712595e-15, 1.5314175737187005e-16, 3.7175768748951404e-16, 0.55621305616073846, 
0.022883497643724281, 2.3400010241757854, 5.1921100691108618e-210, 300.00002952076619, 0.84946342872815739, 0.29585729012166589, 1.3445135786060887e-17, 4.9156683041623787e-13, 0.14792914493195777, 8.4467034337870833e-16, 1.9599800263267613e-11, 1.4866632613337173e-12, 1.9868344219351979e-13, -5.2818470586477228e-16, 6.2636031117626394e-23, -3.5644144788005968e-15, 1.5311823148762126e-16, 1.2015663662287419e-27, 9.7106678623453687e-15, 1.4997301963399309e-15, 1.5314227148138902e-16, 3.7176678771974846e-16, 0.55621356492459095, 
