z (m), u (m/s), V (1/s), T (K), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.19648773825533616, -1.9209187923848072e-14, 300.0, 3.2349462472676608e-05, 9.7891912450177487e-13, -5.6153645973174286e-14, 9.4167057630989928e-12, -8.0429514840683792e-19, 1.4699063587403034e-08, 2.5899128282931624e-15, 1.8722557496492574e-14, -6.5500970102818591e-14, -1.0971321506316025e-13, -4.7766289942619976e-16, -1.6031386988594595e-22, 1.2868111716438814e-14, 1.9694261228727362e-09, 3.7916397999124027e-09, 2.6238468033034785e-10, 3.1177481786331062e-18, 1.308368015983963e-13, 8.2985492009129118e-18, 4.4062667454969958e-14, 2.0277284244626192e-14, -3.6681509381123184e-14, 3.1303271312665346e-10, -2.5938379354697328e-16, 2.3478928708820571e-10, 2.5290662324975575e-13, 0.99996758669796371, -1.2352158180096669e-17, 1.2200510517607521e-13, -1.0227208903995796e-15, 1.5239752148563214e-13, 1.2848576013708247e-14, 3.5948350495926364e-14, 1.7642377425275174e-12, 3.0260691184248218e-30, 5.222362369665951e-12, 1.7863498508524681e-13, 7.7335217035493936e-15, -4.4129623213410101e-14, -1.6264337874915628e-18, 3.1588792355278905e-13, 1.6636921181283899e-18, -5.0061804087224887e-14, 1.2770140999789968e-14, 1.8017057251583989e-17, 5.2982612377295468e-14, 4.2748675133013153e-19, 4.2225330693496521e-08, 3.253833263509735e-10, 1.5883277223660535e-15, 1.1897486427796177e-13, 2.6920629965766579e-16, 1.2756941145371034e-15, 
0.00050000000000000001, 0.19376451715052379, 5.4669435743899539, 300.00004122115774, 8.8032198410034266e-05, 4.0854163426559211e-13, -1.7403913991852688e-15, 7.2474562910672908e-11, -4.3439368313606392e-18, 1.1169324988788655e-07, 2.0080751282681403e-14, 9.1639514962261456e-14, -6.5312909981033949e-14, -6.2555721744412948e-16, -3.376000173828131e-15, 4.5464270181300172e-27, -3.3110955310861402e-14, 1.4267891422957886e-08, 2.917385529882076e-08, 2.6741221726093936e-09, 3.3025976181462403e-17, 1.442321304060772e-12, 8.3411596870926268e-18, 4.4356994232273787e-14, 2.1980930096286151e-13, -9.3980331198470987e-15, 2.9811005974653682e-09, -2.2501311677927332e-16, 2.3493153971105403e-09, 2.5505454221354292e-12, 0.99991147939593339, -3.8741264721125359e-17, 1.4528675807232357e-12, 1.902925247772414e-14, 1.5221969878469582e-13, 1.2796707404914601e-14, 3.614332792955352e-14, 1.373770953055817e-11, 2.3135724472537541e-29, 4.0495048071340341e-11, 1.6638528724885529e-12, 1.9107858525227981e-14, -4.4010434918439252e-14, -1.2372393715680355e-17, 3.1742070081158163e-12, 1.6060112245028033e-17, -5.0072865497199884e-14, 1.2587640496070937e-13, 1.8467657372380225e-16, 5.407947856734603e-13, 4.3646309722330562e-18, 3.2247917586236121e-07, 2.6468410714195808e-09, 2.1205381777518963e-14, 1.5986838229536246e-12, 2.4331380151905615e-15, 8.6879656361141712e-15, 
0.001, 0.18559121231599535, 10.933953145262681, 300.00046763118974, 0.00023822067485735097, 1.6929300534995514e-13, -5.4324502796009298e-17, 5.5233245236664454e-10, -1.3399631551294781e-19, 8.3979064103448486e-07, 1.5402402514180658e-13, 6.5359758104890583e-13, -6.441825383803078e-14, -1.2745477993070919e-18, -3.3791102095934268e-15, 1.767092909946018e-27, 4.477698564594706e-13, 1.022964702159967e-07, 2.2210101527217782e-07, 2.6944758914245696e-08, 3.5825285785381051e-16, 1.5184619143473906e-11, 8.5902913309109637e-18, 4.7739940228113865e-14, 2.3437116016799942e-12, -1.0426950271215604e-15, 2.8072925361971598e-08, -3.1061611235496368e-18, 2.3252418375866301e-08, 2.010453352250445e-11, 0.99975807760365287, -2.4337052496627785e-17, 1.7254159001926964e-11, 2.5710320947759374e-13, 1.5134011347196787e-13, 1.2563746757374749e-14, 3.7165302646150289e-14, 1.0583123260936757e-10, 7.2461978423305444e-29, 3.1068388262903468e-10, 1.5317171040975843e-11, 1.3421415402116622e-13, -4.3116564003471932e-14, -6.4680596886055443e-17, 3.3601059157064502e-11, 1.7191166899809164e-16, -4.9892974912948369e-14, 1.2658271800417032e-12, 1.8643674337128094e-15, 5.4572079732036452e-12, 3.084598036597364e-17, 2.436860572563526e-06, 2.1299766672262079e-08, 2.8038273508180592e-13, 2.1234407495765839e-11, 2.8178199082233797e-14, 9.7474810994646852e-14, 
0.0015, 0.17199301079145521, 16.401404220291518, 300.00470530181974, 0.00063247870937051666, 7.0310418001996884e-14, -1.6258431549147029e-17, 4.0693904840151601e-09, 5.1646077908458608e-20, 6.1043171587924247e-06, 1.1421535965006954e-12, 4.8245906150229543e-12, -6.0599583111289765e-14, -9.2608090889489158e-22, -3.3068192290810221e-15, -4.1905018376561904e-28, 3.7494189244097054e-12, 7.0938478813161772e-07, 1.6344914022945762e-06, 2.6185985675374651e-07, 3.7759677455025865e-15, 1.5364148114167447e-10, 1.1002074925598353e-17, 8.2416386531081215e-14, 2.4084585562557479e-11, -4.4071243429601338e-17, 2.5510022166191105e-07, 1.6208029054943291e-15, 2.2200964857798332e-07, 1.9346481690516589e-10, 0.99934035810740085, 7.1590813985675188e-17, 1.9757213116420044e-10, 2.9738988593324353e-12, 1.4732319569366398e-13, 1.1629540607205177e-14, 4.2289908005991935e-14, 7.8801957231753393e-10, 2.1997091837518726e-28, 2.3039901699540325e-09, 1.3608281232208203e-10, 1.2545375672936916e-12, -3.6547682719239677e-14, -2.6791265022612147e-16, 3.4504360898800354e-10, 1.7664079912267568e-15, -4.8959082111565097e-14, 1.2315805977921126e-11, 1.8146249478041331e-14, 5.311357369266936e-11, 1.8549416630972236e-16, 1.780184429117731e-05, 1.6560837636463513e-07, 3.5703930179223359e-12, 2.715785190546134e-10, 3.2297538507325455e-13, 1.119621240691662e-12, 
0.002, 0.15303291165710328, 21.871549813734962, 300.04392001919132, 0.001619885166029634, 3.6064344243145088e-14, -7.2730983423849498e-17, 2.8199872685252493e-08, 4.1057286089505761e-18, 4.1741538434036471e-05, 7.9728439052746606e-12, 3.3800352164650687e-11, -4.7586541033679199e-14, -1.9600520974356349e-24, -2.9720997703270601e-15, -7.4571139253103975e-27, 2.4987355189379166e-11, 4.6313216671802291e-06, 1.1313809091718665e-05, 2.3847016435803374e-06, 3.7501422334927016e-14, 1.4556220383773291e-09, 3.3568572567962857e-17, 4.091898003678511e-13, 2.3177191963399095e-10, -6.7023164257884369e-19, 2.1740134653986191e-06, 1.3991003035141103e-14, 1.9867435785630633e-06, 1.8193068452809472e-09, 0.99819227488540807, 6.5848933102258846e-16, 2.1163297365324849e-09, 3.1883201734492366e-11, 1.3183398713083461e-13, 8.6868171517102859e-15, 6.6360919097089377e-14, 5.5178390671548095e-09, 7.765341444588924e-28, 1.6068865024315106e-08, 1.1341388445342585e-09, 1.1434648873416911e-11, 8.9304905333249994e-15, -7.7256765717796832e-16, 3.3200024423590461e-09, 1.7034988161184641e-14, -4.4807592160830877e-14, 1.1231783884305843e-10, 1.6549685756485771e-13, 4.8440042844150172e-10, 8.7554048188993169e-16, 0.00012233384136308841, 1.2101042664011058e-06, 4.2486647235963942e-11, 3.2456564225416939e-09, 3.4724476761926213e-12, 1.2091608239103855e-11, 
0.0025000000000000001, 0.12889920374441569, 27.3572021516886, 300.36844123652389, 0.0039238726772610946, 5.6390516341092962e-14, -5.1596740706316809e-17, 1.7779268223326662e-07, 1.7467640508009403e-16, 0.00025974158882128803, 5.0964860212411366e-11, 2.1564004290152942e-10, -2.0289138835313527e-14, -2.6150720285806642e-25, -1.7903647314198764e-15, -7.2555611082548614e-27, 1.4885232728064764e-10, 2.7550856500368397e-05, 7.1253639369577183e-05, 1.9641579813635591e-05, 3.3492993372564194e-13, 1.2462890018272666e-08, 2.2608528067754169e-16, 3.1885691577383028e-12, 2.0151124737226032e-09, -3.7416144395659869e-21, 1.6779060005976797e-05, 1.0417287127070125e-13, 1.6085608135236134e-05, 1.5539739408699249e-08, 0.99489152117193547, 4.0258663232652293e-15, 2.0444558589027287e-08, 3.0802859351748851e-10, 8.8849944683766803e-14, 3.2660726523106179e-15, 1.6926293830208724e-13, 3.5140239322927052e-08, 7.6830526842498413e-27, 1.0194814001599988e-07, 8.5632201255292299e-09, 9.4644734763501485e-11, 2.9400099282706003e-13, -1.0430929814867851e-15, 2.8863523419877789e-08, 1.48733810603192e-13, -3.1219508396667655e-14, 9.264321456669635e-10, 1.3650748797699137e-12, 3.9954868384711537e-09, 2.5709577791681066e-15, 0.00076507541663680561, 8.0343537831768972e-06, 4.5520887030997441e-10, 3.4925177411996664e-08, 3.3685212352038334e-11, 1.1780520913440953e-10, 
0.0027499999999999998, 0.11516943906571658, 30.132898011166578, 301.26438275512049, 0.0060372852173483198, 1.0996076425024602e-13, 6.6911284607636523e-16, 4.9654487534922869e-07, 1.4383738072354883e-15, 0.00071846167113761921, 1.4864671600985267e-10, 6.0744890402096546e-10, -7.8439876265494146e-15, -6.5851681980185545e-26, -4.8013082592090776e-16, 2.8639989178150051e-25, 4.0273045891523038e-10, 7.3831348382518856e-05, 0.00019885451972184346, 6.6855125501340761e-05, 1.2172213492120195e-12, 4.3696130603274968e-08, 8.2262669299205083e-16, 1.1265900119990738e-11, 7.1492594767830569e-09, -2.5489027101845458e-23, 5.4366157108498629e-05, 3.3783294687249919e-13, 5.4039661659189808e-05, 5.4416692820879843e-08, 0.99064687743298951, 1.1793823519344722e-14, 7.8765964808252318e-08, 1.1867374144049703e-09, 5.7625192619043144e-14, 1.1714771921879e-15, 3.2675997645451355e-13, 9.8831186965864e-08, 4.3179751592540438e-26, 2.8602215763259417e-07, 2.7283940360084319e-08, 3.2347142626314508e-10, 9.0728830852694196e-13, -7.7198695203773057e-16, 1.024011542596203e-07, 5.2905775450280389e-13, -2.0201494075700942e-14, 3.1568014344625357e-09, 4.6514726917770841e-12, 1.3614549512244555e-08, 3.09575158082348e-15, 0.0021247752595171311, 2.3289873756007421e-05, 1.9039377859254078e-09, 1.4667059349573097e-07, 1.3027323178622226e-10, 4.5693227012801408e-10, 
0.0030000000000000001, 0.10095111371150317, 33.011708008419561, 304.50203536192845, 0.0091668578048086386, 2.2353139223312285e-13, 5.107629734543725e-15, 1.4217642831648142e-06, 1.266699593624363e-14, 0.0020341124652092177, 4.6235923174885097e-10, 1.7556604061833298e-09, -1.5152018794860604e-15, 3.4808852029320441e-25, 2.4211791367513941e-15, 5.8693093605389641e-24, 1.1310626175491969e-09, 0.00020210201440068129, 0.00056899636432072148, 0.00023727207017328498, 4.6366084276060235e-12, 1.6009162111016204e-07, 3.3844329512557091e-15, 4.1935224270386267e-11, 2.653175666822555e-08, 6.9531093791395093e-26, 0.00018290892471220703, 1.1893181211127079e-12, 0.0001890678335633355, 1.9920695146976648e-07, 0.98129516780514836, 3.8276029406268494e-14, 3.1964840106523753e-07, 4.8160282559918422e-09, 2.6404576814188628e-14, 4.0428038175024684e-16, 6.7335790269463856e-13, 2.8495633961182284e-07, 2.8558579574306977e-25, 8.231141679061327e-07, 9.0105199268540989e-08, 1.153176759842937e-09, 2.7011237532878299e-12, -2.9002359482804737e-16, 3.800106045924159e-07, 1.9677962091502994e-12, -8.6944560082794388e-15, 1.1216784330057908e-08, 1.6527682577020176e-11, 4.8375401441506176e-08, 2.4236198451362167e-15, 0.0060496445821953742, 6.9431322957215421e-05, 8.4411969292822905e-09, 6.5356252470349144e-07, 5.3115863393453179e-10, 1.8678974024152741e-09, 
0.0032500000000000003, 0.08733178236303113, 36.195026387834837, 314.65577073405302, 0.013487832878110255, 5.0233049415668218e-13, 2.6208862884687048e-14, 3.7965606881142456e-06, 1.0078039756335672e-13, 0.005361216700075163, 1.5032595243375771e-09, 4.7293217343225299e-09, -1.4136707741172533e-16, 2.3794029415085583e-24, 1.2626893395209173e-14, 1.2189602915944484e-22, 3.1492857281382487e-09, 0.00051714300540547388, 0.0015188690985645263, 0.00077433013710868058, 1.6678489177325685e-11, 5.3769767009610793e-07, 1.5238097098362153e-14, 1.4433520841049543e-10, 9.0196983734416424e-08, 5.3252858978292733e-24, 0.00056781040354839454, 4.5307797980550759e-12, 0.00060860298557484501, 6.6964082087162471e-07, 0.96087022827010171, 1.4399318718717295e-13, 1.182275439940192e-06, 1.7812902179008238e-08, 7.381124465360419e-15, 9.1148539835604956e-16, 1.3630663997546009e-12, 7.6427418990437242e-07, 2.5448465575792092e-24, 2.2090779108754436e-06, 2.7459036647148678e-07, 3.7790977246180142e-09, 7.3262531598788541e-12, -4.6757437391000328e-17, 1.2917658338507515e-06, 6.6770273781401177e-12, -2.126407968465037e-15, 3.6643918554771085e-08, 5.3994105948502318e-11, 1.5803704396733381e-07, 9.711241484635744e-16, 0.016087758873674762, 0.00019248082442877885, 3.3857315854355767e-08, 2.6420616315265186e-06, 1.9777840397740469e-09, 6.9562298337887349e-09, 
0.0033750000000000004, 0.081421601206198346, 38.072236208454271, 326.02053264343641, 0.016120255645101073, 9.0345318787080438e-13, 6.4894398560777367e-14, 6.090982600651549e-06, 3.0388176302302853e-13, 0.0085214146590344257, 3.1463862864094155e-09, 7.6224511990859144e-09, -2.0954842020495786e-17, 8.7472456590036465e-24, 3.3494542590673658e-14, 7.0638020283340846e-22, 5.6605295833610105e-09, 0.0008107662856302885, 0.0024368699588929173, 0.0013863866882170121, 3.3340034993848728e-11, 9.7751105829194944e-07, 4.0173607689149563e-14, 2.687676504134968e-10, 1.6513186554998795e-07, 4.5946769691407366e-23, 0.00098844571768763709, 1.1508788004229679e-11, 0.001080831963633193, 1.2207672928740171e-06, 0.94253789761971607, 3.6173529594933193e-13, 2.2748261447919586e-06, 3.427388717493033e-08, 2.8838134384659109e-15, 2.4770116930933008e-15, 1.9151056929092655e-12, 1.2265337475694295e-06, 1.1112068099659594e-23, 3.554881783961964e-06, 4.7227803266000431e-07, 6.7819924354042873e-09, 1.1787433269119459e-11, -9.4320554613587627e-18, 2.3647108905066696e-06, 1.2133485577056684e-11, -7.325378768375971e-16, 6.5643671871294896e-08, 9.6725033054576091e-11, 2.831074947162173e-07, 4.5624863025729578e-16, 0.025777961143770078, 0.00031496265701877121, 6.7990008618581496e-08, 5.3680984602464572e-06, 3.8362462438317732e-09, 1.3438863342958316e-08, 
