 Adding reactor (none)
Adding reactor (none)
finished setup, begin solution...
0.0004 500.0 0
Initializing reactor network.
Reactor 0: 3 variables.
            0 sensitivity params.
Reactor 1: 55 variables.
            0 sensitivity params.
Number of equations: 58
Maximum time step:           0.0004
0.0008 506.904246271 1
0.0012 513.699629963 2
0.0016 520.417756816 3
0.002 527.084725008 4
0.0024 533.722658968 5
0.0028 540.350767209 6
0.0032 546.986093815 7
0.0036 553.644068035 8
0.004 560.338916968 9
0.0044 567.083983236 10
0.0048 573.891975441 11
0.0052 580.77517029 12
0.0056 587.745579795 13
0.006 594.815092219 14
0.0064 601.995594288 15
0.0068 609.299079102 16
0.0072 616.737743374 17
0.0076 624.324076765 18
0.008 632.070945048 19
0.0084 639.991668046 20
0.0088 648.100094437 21
0.0092 656.41066983 22
0.0096 664.938503731 23
0.01 673.699427016 24
0.0104 682.710043088 25
0.0108 691.987768106 26
0.0112 701.550854476 27
0.0116 711.418392773 28
0.012 721.610282088 29
0.0124 732.147157695 30
0.0128 743.050258247 31
0.0132 754.341213373 32
0.0136 766.041722555 33
0.014 778.173087735 34
0.0144 790.755554057 35
0.0148 803.807398292 36
0.0152 817.343694046 37
0.0156 831.374669347 38
0.016 845.903563693 39
0.0164 860.923894512 40
0.0168 876.416066649 41
0.0172 892.34331741 42
0.0176 908.647109717 43
0.018 925.242281715 44
0.0184 942.012551872 45
0.0188 958.807377082 46
0.0192 975.441483502 47
0.0196 991.698661802 48
0.02 1007.34208065 49
0.0204 1022.13220456 50
0.0208 1035.83911527 51
0.0212 1048.2686653 52
0.0216 1059.28361526 53
0.022 1068.81626515 54
0.0224 1076.87064161 55
0.0228 1083.51419706 56
0.0232 1088.86226283 57
0.0236 1093.05993219 58
0.024 1096.26504204 59
0.0244 1098.63438162 60
0.0248 1100.314073 61
0.0252 1101.43404736 62
0.0256 1102.10583393 63
0.026 1102.42263457 64
0.0264 1102.46075602 65
0.0268 1102.28169795 66
0.0272 1101.93443059 67
0.0276 1101.45758643 68
0.028 1100.88142545 69
0.0284 1100.22952016 70
0.0288 1099.52015692 71
0.0292 1098.76747618 72
0.0296 1097.98238902 73
0.03 1097.1732981 74
0.0304 1096.34666876 75
0.0308 1095.50747293 76
0.0312 1094.65953402 77
0.0316 1093.80579415 78
0.032 1092.94852006 79
0.0324 1092.08946187 80
0.0328 1091.22997501 81
0.0332 1090.37111395 82
0.0336 1089.51370403 83
0.034 1088.65839658 84
0.0344 1087.80571116 85
0.0348 1086.95606795 86
0.0352 1086.10981256 87
0.0356 1085.26723514 88
0.036 1084.42858504 89
0.0364 1083.59408212 90
0.0368 1082.76392545 91
0.0372 1081.9383002 92
0.0376 1081.1173829 93
0.038 1080.30134567 94
0.0384 1079.49035961 95
0.0388 1078.68459757 96
0.0392 1077.88423648 97
0.0396 1077.08945926 98
0.04 1076.30045665 99
0.0404 1075.51742879 100
0.0408 1074.74058672 101
0.0412 1073.97015388 102
0.0416 1073.20636767 103
0.042 1072.44948091 104
0.0424 1071.69976354 105
0.0428 1070.95750434 106
0.0432 1070.22301287 107
0.0436 1069.49662154 108
0.044 1068.77868786 109
0.0444 1068.0695971 110
0.0448 1067.3697651 111
0.0452 1066.67964141 112
0.0456 1065.999713 113
0.046 1065.33050837 114
0.0464 1064.67260205 115
0.0468 1064.02661999 116
0.0472 1063.39324553 117
0.0476 1062.77322626 118
0.048 1062.16738203 119
0.0484 1061.57661407 120
0.0488 1061.00191561 121
0.0492 1060.44438414 122
0.0496 1059.90523593 123
0.05 1059.3858229 124
0.0504 1058.88765254 125
0.0508 1058.41241143 126
0.0512 1057.9619937 127
0.0516 1057.53853445 128
0.052 1057.14445046 129
0.0524 1056.7824895 130
0.0528 1056.45579049 131
0.0532 1056.16795754 132
0.0536 1055.92315179 133
0.054 1055.7262063 134
0.0544 1055.58277107 135
0.0548 1055.49949813 136
0.0552 1055.48428003 137
0.0556 1055.54656148 138
0.056 1055.69775142 139
0.0564 1055.95177649 140
0.0568 1056.3258367 141
0.0572 1056.84145613 142
0.0576 1057.52597543 143
0.058 1058.41472244 144
0.0584 1059.55425702 145
0.0588 1061.00738059 146
0.0592 1062.86116643 147
0.0596 1065.24042994 148
0.06 1068.33161617 149
0.0604 1072.42821029 150
0.0608 1078.02521012 151
0.0612 1086.04115177 152
0.0616 1098.43999404 153
0.062 1120.53577302 154
