 Adding reactor (none)
Initializing reactor network.
Reactor 0: 55 variables.
            10 sensitivity params.
Number of equations: 55
Maximum time step:            5e-06
 5.000e-06   1500.000 101325.000   9.070317e+05
 1.000e-05   1499.999 101325.000   9.070318e+05
 1.500e-05   1499.999 101325.000   9.070319e+05
 2.000e-05   1499.998 101325.000   9.070320e+05
 2.500e-05   1499.998 101325.000   9.070321e+05
 3.000e-05   1499.997 101325.000   9.070322e+05
 3.500e-05   1499.997 101325.000   9.070323e+05
 4.000e-05   1499.997 101325.000   9.070324e+05
 4.500e-05   1499.996 101325.000   9.070325e+05
 5.000e-05   1499.996 101325.000   9.070326e+05
 5.500e-05   1499.996 101325.000   9.070327e+05
 6.000e-05   1499.995 101325.000   9.070328e+05
 6.500e-05   1499.995 101325.000   9.070328e+05
 7.000e-05   1499.995 101325.000   9.070329e+05
 7.500e-05   1499.995 101325.000   9.070329e+05
 8.000e-05   1499.994 101325.000   9.070330e+05
 8.500e-05   1499.994 101325.000   9.070330e+05
 9.000e-05   1499.994 101325.000   9.070331e+05
 9.500e-05   1499.994 101325.000   9.070331e+05
 1.000e-04   1499.994 101325.000   9.070331e+05
 1.050e-04   1499.994 101325.000   9.070331e+05
 1.100e-04   1499.994 101325.000   9.070331e+05
 1.150e-04   1499.994 101325.000   9.070331e+05
 1.200e-04   1499.994 101325.000   9.070330e+05
 1.250e-04   1499.994 101325.000   9.070330e+05
 1.300e-04   1499.994 101325.000   9.070329e+05
 1.350e-04   1499.994 101325.000   9.070329e+05
 1.400e-04   1499.994 101325.000   9.070328e+05
 1.450e-04   1499.994 101325.000   9.070327e+05
 1.500e-04   1499.995 101325.000   9.070326e+05
 1.550e-04   1499.995 101325.000   9.070324e+05
 1.600e-04   1499.995 101325.000   9.070323e+05
 1.650e-04   1499.996 101325.000   9.070321e+05
 1.700e-04   1499.996 101325.000   9.070319e+05
 1.750e-04   1499.997 101325.000   9.070317e+05
 1.800e-04   1499.997 101325.000   9.070315e+05
 1.850e-04   1499.998 101325.000   9.070313e+05
 1.900e-04   1499.999 101325.000   9.070310e+05
 1.950e-04   1500.000 101325.000   9.070307e+05
 2.000e-04   1500.001 101325.000   9.070304e+05
 2.050e-04   1500.002 101325.000   9.070301e+05
 2.100e-04   1500.003 101325.000   9.070297e+05
 2.150e-04   1500.004 101325.000   9.070293e+05
 2.200e-04   1500.005 101325.000   9.070289e+05
 2.250e-04   1500.006 101325.000   9.070285e+05
 2.300e-04   1500.008 101325.000   9.070280e+05
 2.350e-04   1500.009 101325.000   9.070275e+05
 2.400e-04   1500.011 101325.000   9.070269e+05
 2.450e-04   1500.013 101325.000   9.070263e+05
 2.500e-04   1500.015 101325.000   9.070257e+05
 2.550e-04   1500.017 101325.000   9.070250e+05
 2.600e-04   1500.019 101325.000   9.070243e+05
 2.650e-04   1500.021 101325.000   9.070236e+05
 2.700e-04   1500.024 101325.000   9.070228e+05
 2.750e-04   1500.027 101325.000   9.070219e+05
 2.800e-04   1500.029 101325.000   9.070210e+05
 2.850e-04   1500.032 101325.000   9.070200e+05
 2.900e-04   1500.036 101325.000   9.070190e+05
 2.950e-04   1500.039 101325.000   9.070179e+05
 3.000e-04   1500.043 101325.000   9.070168e+05
 3.050e-04   1500.046 101325.000   9.070155e+05
 3.100e-04   1500.050 101325.000   9.070143e+05
 3.150e-04   1500.055 101325.000   9.070129e+05
 3.200e-04   1500.059 101325.000   9.070114e+05
