kinetics example 1: constant-pressure ignition,
time (s),Temperature (K),Density (kg/m3),Pressure (Pa),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,
0,1001,0.257549,101325,0.285714,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
1e-05,1001,0.257549,101325,0.285714,3.17799e-10,3.13041e-11,0.142857,1.06841e-11,2.14007e-10,4.83549e-10,4.75876e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8758e-25,6.34805e-24,2.68791e-25,1.13109e-25,1.05415e-16,1.43967e-23,4.2964e-31,1.37279e-17,3.19667e-25,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
2e-05,1001,0.257549,101325,0.285714,7.98713e-10,8.42851e-11,0.142857,2.8049e-11,1.06594e-09,1.42023e-09,2.51275e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95632e-24,6.63504e-23,4.16966e-24,3.52616e-24,2.64966e-16,1.50128e-22,2.28916e-29,7.14634e-17,4.95636e-24,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
3e-05,1001,0.257549,101325,0.285714,1.54149e-09,1.66112e-10,0.142857,5.48695e-11,2.90668e-09,3.05495e-09,7.38312e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99951e-24,3.02018e-22,2.20627e-23,2.70596e-23,5.11394e-16,7.26472e-22,3.18929e-28,1.97943e-16,2.62181e-23,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
4e-05,1001,0.257549,101325,0.285714,2.68912e-09,2.92535e-10,0.142857,9.63095e-11,6.27483e-09,5.76748e-09,1.70507e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07017e-23,1.01679e-21,7.98579e-23,1.23066e-22,8.92139e-16,2.59571e-21,2.56418e-27,4.30877e-16,9.48838e-23,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
5e-05,1001,0.257549,101325,0.285714,4.4628e-09,4.87918e-10,0.142857,1.60359e-10,1.20036e-08,1.01451e-08,3.4551e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79717e-23,2.96404e-21,2.42116e-22,4.32832e-22,1.48059e-15,7.93356e-21,1.55346e-26,8.28592e-16,2.87646e-22,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
6e-05,1001,0.257549,101325,0.285714,7.20456e-09,7.89935e-10,0.142857,2.59375e-10,2.13813e-08,1.70959e-08,6.45784e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92219e-23,7.98767e-21,6.67424e-22,1.31706e-21,2.39021e-15,2.21431e-20,7.92438e-26,1.48127e-15,7.92884e-22,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
7e-05,1001,0.257549,101325,0.285714,1.14433e-08,1.25685e-09,0.142857,4.12479e-10,3.64006e-08,2.80233e-08,1.14398e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66638e-23,2.05655e-20,1.74182e-21,3.67207e-21,3.79649e-15,5.84496e-20,3.62469e-25,2.52834e-15,2.06915e-21,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
8e-05,1001,0.257549,101325,0.285714,1.79975e-08,1.97879e-09,0.142857,6.49272e-10,6.01444e-08,4.50973e-08,1.95271e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38221e-23,5.15173e-20,4.39994e-21,9.69557e-21,5.97093e-15,1.48979e-19,1.54589e-24,4.18545e-15,5.2266e-21,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
9e-05,1001,0.257549,101325,0.285714,2.81332e-08,3.09523e-09,0.142857,1.0156e-09,9.73837e-08,7.16719e-08,3.24673e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16538e-22,1.26886e-19,1.08936e-20,2.47248e-20,9.33364e-15,3.713e-19,6.29068e-24,6.78614e-15,1.29398e-20,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
