z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.0464199916584, 0.0, 373.7, 0.86170401749915038, 0.0250379229866, 5.2862870985e-11, 1.44370696352e-11, 0.14006032513, 1.33379509218e-09, 0.0558839569621, 8.75955143709e-06, 2.26800002398e-05, -3.6530790714e-16, -1.90006107212e-19, 2.53022656031e-15, 5.92908909707e-17, 2.47683755613e-08, 0.0873123766181, 0.0135118324833, 0.00660427923369, 2.47593243949e-12, 0.00025622840594, 7.38158456437e-14, 2.35358179974e-08, 4.49965525793e-05, 2.27991016626e-19, 0.000131315284812, 8.51282161271e-14, 0.000346334738256, 1.41257290601e-10, 0.000195376555254, 2.63101775024e-13, 3.91431380598e-05, 2.57520365042e-08, 6.10025457642e-17, 1.97705812506e-14, 6.40788554746e-11, 5.17801677972e-07, 2.21744804715e-19, 2.78351822913e-08, 3.20623262273e-07, 3.09766351778e-09, 2.56948246089e-12, -6.44780166679e-18, 5.98523795806e-07, 9.489463013e-12, 2.56266665248e-20, 5.55083885965e-09, 6.20103097472e-11, 6.60803260334e-08, 3.32041251998e-13, 0.670539716594, -1.17804581816e-24, 2.17416263116e-11, 2.12242968533e-06, 1.73794640481e-11, 1.01804487261e-06, 
7.8125e-05, 0.0528679936452, 0.0, 425.032863588, 0.75661946099495925, 0.0257313432389, 5.37847473627e-11, 1.5384653639e-11, 0.135939446899, 1.42263631275e-09, 0.0608261761518, 9.64880462047e-06, 2.49979564503e-05, -2.68237749613e-20, 2.16140614242e-22, 3.14717633234e-15, 5.95594723203e-17, 2.70780503e-08, 0.0844296565393, 0.0148888698005, 0.00746666586129, 2.79779440225e-12, 0.000289391474766, 6.15745179365e-14, 2.66136991496e-08, 5.09383586456e-05, 2.82649076688e-20, 0.000147641745907, 3.20204694311e-14, 0.00039064923916, 1.60788523882e-10, 0.000222605891366, 2.88479183269e-13, 4.50365534268e-05, 2.9629283208e-08, 8.21298764192e-17, 2.08762218366e-14, 6.81377216685e-11, 5.65294875241e-07, 2.21904635802e-19, 3.06937416608e-08, 3.58798715762e-07, 3.50692723128e-09, 2.83539627752e-12, -1.1073660316e-21, 6.76831564068e-07, 1.07458839285e-11, -2.35141239536e-22, 6.28102378585e-09, 7.01715731564e-11, 7.4772816916e-08, 3.79596843299e-13, 0.669531453275, -1.21667810208e-24, 2.56384022407e-11, 2.50414015404e-06, 2.00124091536e-11, 1.17271582448e-06, 
0.00015625, 0.0592328578876, 0.0, 475.596958724, 0.67532304300305357, 0.0263934423234, 1.68070643678e-10, 2.84168194501e-11, 0.131775777592, 1.93988274071e-09, 0.0656977726795, 1.12014830842e-05, 2.70222345217e-05, 7.34668428734e-23, 1.59446747365e-23, 7.64022898625e-15, 1.51312575977e-16, 4.92346793375e-08, 0.0815384904277, 0.0162921460857, 0.00836138294722, 4.69649003244e-12, 0.000323439869723, 1.01041795059e-13, 3.51933476102e-08, 5.70549356765e-05, 3.01003237381e-19, 0.000164512965918, 9.3595411009e-14, 0.000436447742796, 2.51672501382e-10, 0.000251066421286, 5.37827831599e-13, 5.12181431702e-05, 3.36956559547e-08, 4.38875941807e-18, 8.1987027027e-14, 7.27973064237e-11, 6.12426792396e-07, 1.70172000698e-18, 3.80927607503e-08, 3.92908559598e-07, 3.93232703017e-09, 3.14774440311e-12, 7.95929288851e-21, 7.57269020669e-07, 1.19104848356e-11, 5.16792071715e-24, 7.03962390551e-09, 7.86504752575e-11, 8.38035162245e-08, 4.43162692792e-13, 0.668612755631, -1.53990417275e-24, 5.50730767347e-11, 2.9170534985e-06, 5.90109787237e-11, 1.33519358902e-06, 
0.000234375, 0.0655422672102, 0.0, 525.622361585, 0.61031551249803762, 0.0270296446641, 5.69223926231e-10, 6.30253210934e-11, 0.12755429677, 3.18412743446e-09, 0.0705268549529, 1.32991358422e-05, 2.88143438844e-05, 1.44889253432e-25, 1.76410333516e-22, 2.34303484727e-14, 5.15924743716e-16, 9.987413173e-08, 0.0786272321558, 0.017725600845, 0.00929106076833, 9.69043696626e-12, 0.00035845979789, 2.09996973381e-13, 5.17195970769e-08, 6.33550089628e-05, 3.06107266287e-18, 0.000181978212354, 3.07767131387e-13, 0.000483867018984, 5.06700129142e-10, 0.000280843746483, 1.17078608483e-12, 5.77072613445e-05, 3.79635221133e-08, -2.23103258561e-17, -1.52867259712e-14, 7.9010882347e-11, 6.59439008112e-07, 1.16586101609e-17, 5.01648809184e-08, 4.229020872e-07, 4.37510934827e-09, 3.55847102974e-12, 6.55850581883e-20, 8.40080249327e-07, 1.28629720127e-11, 3.64055035804e-23, 7.8288655526e-09, 8.7472091155e-11, 9.31988121011e-08, 5.32519437505e-13, 0.667769843888, -9.72710251557e-25, 1.30392140381e-10, 3.36306299971e-06, 1.93309220888e-10, 1.5059789856e-06, 
0.0003125, 0.0718151237838, 0.0, 575.266836791, 0.55700622085260321, 0.0276439614013, 1.86995532197e-09, 1.49561941216e-10, 0.1232641646, 5.52647199083e-09, 0.0753333672421, 1.5889339493e-05, 3.03934981459e-05, -9.34944567272e-28, 2.2959537813e-21, 7.61773089013e-14, 1.82779066397e-15, 2.00558115685e-07, 0.0756875721407, 0.019192093601, 0.0102577496882, 2.1646170528e-11, 0.000394493095759, 4.91813309296e-13, 7.71529229368e-08, 6.98299837858e-05, 2.23235287692e-17, 0.00020007525382, 1.01469978543e-12, 0.000533010988624, 1.13675688578e-09, 0.000312008066459, 2.654939051e-12, 6.45214055261e-05, 4.24435423553e-08, -6.33054044191e-17, 9.34909426989e-14, 8.80974578721e-11, 7.0650084241e-07, 6.65623029633e-17, 6.76503404124e-08, 4.479992636e-07, 4.8362585751e-09, 4.17295908031e-12, 5.89645313402e-19, 9.25449134872e-07, 1.33663893545e-11, 5.46289146913e-22, 8.65051627069e-09, 9.66560582879e-11, 1.02979542391e-07, 6.68550337418e-13, 0.666992746141, -9.09804701138e-25, 2.94073355981e-10, 3.84399081691e-06, 6.19017078511e-10, 1.68551824354e-06, 
0.000390625, 0.078064989306, 0.0, 624.644232316, 0.51241140496767323, 0.0282394644253, 5.85646095466e-09, 3.75958857364e-10, 0.118897280303, 9.81149374913e-09, 0.0801319636665, 1.89336825251e-05, 3.17570944902e-05, 1.75075500272e-27, 2.09030672238e-20, 2.55643918333e-13, 6.45505122998e-15, 3.92363804824e-07, 0.0727133645651, 0.0206937899503, 0.011263137793, 5.07214096237e-11, 0.000431534725799, 1.26487998864e-12, 1.12347088949e-07, 7.64441318695e-05, 1.49445948285e-16, 0.000218834879006, 3.26435892214e-12, 0.000583962409854, 2.66769775897e-09, 0.000344620357186, 6.17498033756e-12, 7.16788682158e-05, 4.71460461193e-08, -1.03376145412e-16, 2.29425093516e-13, 1.01888671313e-10, 7.53735253573e-07, 3.3241004351e-16, 9.1738545255e-08, 4.66882732115e-07, 5.31659580384e-09, 5.15398868365e-12, 1.78734622411e-18, 1.01352158063e-06, 1.31432707024e-11, 2.19085984872e-21, 9.50609486566e-09, 1.06219039103e-10, 1.13162902059e-07, 8.87979747706e-13, 0.666273970052, -8.88805396323e-25, 6.08509759093e-10, 4.36164310942e-06, 1.88545090386e-09, 1.874237775e-06, 
0.00046875, 0.0843019475444, 0.0, 673.839811575, 0.47449983094700432, 0.0288185795155, 1.72594580337e-08, 9.9054865331e-10, 0.114447478447, 1.76638803275e-08, 0.0849336763484, 2.23736561115e-05, 3.28865403994e-05, 1.34004296141e-25, 2.17257415697e-19, 8.7350391889e-13, 2.24737134467e-14, 7.49803057026e-07, 0.0696999536822, 0.0222323799803, 0.0123086713979, 1.22914423582e-10, 0.000469513927517, 3.49245578788e-12, 1.57040875941e-07, 8.31194651256e-05, 8.21011419e-16, 0.000238283800077, 1.0109018491e-11, 0.000636788760906, 6.29587331182e-09, 0.000378735712663, 1.48813803493e-11, 7.9202582687e-05, 5.20830250411e-08, 1.68932243087e-16, 4.96337801775e-13, 1.22926866128e-10, 8.01233690819e-07, 1.44387247008e-15, 1.23982637959e-07, 4.77801955578e-07, 5.81683601342e-09, 6.76761460149e-12, 8.62297839478e-18, 1.10441810792e-06, 1.21450738571e-11, 1.80596552447e-20, 1.03970615263e-08, 1.16176653322e-10, 1.23763692881e-07, 1.25849231682e-12, 0.665607710323, -8.01138075499e-25, 1.12283766285e-09, 4.91785108271e-06, 5.34810126988e-09, 2.07257521297e-06, 
0.0005078125, 0.0874191582467, 0.0, 698.392698079, 0.45757914731767668, 0.0291078930696, 2.97885138405e-08, 1.6960303426e-09, 0.112147783817, 2.4243219066e-08, 0.0873831034539, 2.42348361429e-05, 3.33576067995e-05, 8.88989687136e-25, 7.47961989575e-19, 1.68554259545e-12, 4.31519430856e-14, 1.04613443407e-06, 0.0681489828256, 0.0230306164497, 0.0128570759665, 1.9774717128e-10, 0.000489143619178, 6.053085191e-12, 1.83981343437e-07, 8.64886709721e-05, 1.86300341813e-15, 0.000248463482557, 1.79374986224e-11, 0.00066443409469, 9.89327967677e-09, 0.000396708098484, 2.41091149641e-11, 8.31885689041e-05, 5.46945095173e-08, 1.5979479943e-16, 7.39042585154e-13, 1.37802926163e-10, 8.25548183259e-07, 2.956878297e-15, 1.4423398619e-07, 4.79505881103e-07, 6.07950440884e-09, 7.99054271969e-12, 1.9340674385e-17, 1.15183491913e-06, 1.15217655437e-11, 6.20044135377e-20, 1.08650832534e-08, 1.21406514625e-10, 1.29328068798e-07, 1.55244940703e-12, 0.665287022413, -7.95407834429e-25, 1.44245365464e-09, 5.2167211451e-06, 9.03452416082e-09, 2.17747257854e-06, 
0.000546875, 0.0905357655594, 0.0, 722.922596652, 0.44182654257498555, 0.0293936023731, 4.96635624697e-08, 2.8511324192e-09, 0.10982499853, 3.31066786162e-08, 0.0898360496177, 2.61424189332e-05, 3.37523784677e-05, 4.09351768231e-24, 2.34357413922e-18, 3.19015360785e-12, 8.1256760684e-14, 1.44510703968e-06, 0.0665866916526, 0.0238388961903, 0.0134164953054, 3.15749998135e-10, 0.000508927565966, 1.04137682797e-11, 2.12100649296e-07, 8.98123285069e-05, 4.08706466645e-15, 0.000258833588774, 3.10667233441e-11, 0.0006925905647, 1.52429255007e-08, 0.000415095099394, 3.92003882641e-11, 8.72868718428e-05, 5.7376174823e-08, 2.08634143372e-16, 1.08624456961e-12, 1.5598337299e-10, 8.49953302045e-07, 5.774791247e-15, 1.67276710176e-07, 4.78375821318e-07, 6.34764313202e-09, 9.5483994544e-12, 3.5348202719e-17, 1.2000308426e-06, 1.08628740818e-11, 1.46911679042e-19, 1.13431296173e-08, 1.26747681975e-10, 1.35006888588e-07, 1.94135304879e-12, 0.664978332911, -7.56554642087e-25, 1.77002677749e-09, 5.52660278124e-06, 1.46447509114e-08, 2.28509766485e-06, 
0.0005859375, 0.0936524506693, 0.0, 747.435430359, 0.42712201409301043, 0.0296759248034, 8.0422609872e-08, 4.72703711663e-09, 0.107478717949, 4.49983963075e-08, 0.0922933092331, 2.80629460136e-05, 3.40628979889e-05, 2.49325324857e-23, 7.44083811569e-18, 5.94357931558e-12, 1.50349799646e-13, 1.97974834818e-06, 0.0650127472181, 0.0246573502353, 0.0139870759543, 5.00380195221e-10, 0.000528804057514, 1.77508175405e-11, 2.40390632261e-07, 9.3059261621e-05, 8.67000680533e-15, 0.000269397904977, 5.26554298181e-11, 0.000721262891904, 2.30902835154e-08, 0.000433902168671, 6.40242354242e-11, 9.15063039804e-05, 6.01331923845e-08, 2.10708415516e-16, 1.58042850853e-12, 1.78081323977e-10, 8.74455663833e-07, 1.0828259229e-14, 1.93303652393e-07, 4.74177668467e-07, 6.62132972636e-09, 1.1516443595e-11, 7.93143714452e-17, 1.2490175811e-06, 1.0215060568e-11, 5.40451094236e-19, 1.1831586668e-08, 1.32204406349e-10, 1.40801593986e-07, 2.45858389164e-12, 0.664681163248, -6.11346871345e-25, 2.06313331158e-09, 5.84777123395e-06, 2.28780458799e-08, 2.39551688158e-06, 
