z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.0, 2.33962291238, -3.21186587383e-216, 300.0, 0.84946275071865651, 0.295857988166, -1.43591417715e-15, -1.62103223025e-14, 0.147928994083, 5.43408227392e-15, 1.45716470552e-17, -7.18695100686e-18, 6.8931714176e-16, 2.39471380193e-15, -4.06091482322e-15, -4.3091648032e-15, 8.60468628978e-16, -4.06890831238e-31, -2.54801432279e-15, -6.36800195895e-16, 9.69942546769e-17, 3.49607661954e-15, 0.556213017751, 
0.001, 2.3396229124, 1.26746303705e-213, 300.0, 0.84946275071874822, 0.295857988166, -4.96438504528e-19, -1.55326490973e-14, 0.147928994083, 6.07845322752e-17, 1.18667131208e-15, -8.26264148104e-16, 6.4777006734e-16, 2.13152582288e-15, -2.73466618578e-16, -4.10664200207e-15, 6.57861746977e-16, -4.43620099887e-29, -6.08060313032e-15, -6.36799202486e-16, 9.69945437067e-17, 3.49552473662e-15, 0.556213017751, 
0.00575, 2.3396229124, 1.34614533602e-213, 300.0, 0.84946275071884092, 0.295857988166, -4.11807198802e-19, -1.30812970725e-14, 0.147928994083, -2.01920343738e-17, -6.67657305273e-16, -4.75986274767e-15, 4.64309013306e-16, 1.34298797048e-15, -4.08030396478e-18, -3.32692068658e-15, -1.22060627205e-16, -3.68022469324e-29, -5.56135700535e-15, -6.36795416442e-16, 9.69945599099e-17, 3.49531334284e-15, 0.556213017751, 
0.0105, 2.3396229124, 1.35912184222e-213, 300.0, 0.84946275071891308, 0.295857988166, -3.32887703827e-19, -1.11638490689e-14, 0.147928994083, -1.54955499869e-17, -2.10079698351e-15, -7.92985954095e-15, 3.05102059004e-16, 8.46056978757e-16, -6.02915306879e-20, -2.69523081423e-15, -7.53913658727e-16, -2.97494318008e-29, -5.06810210545e-15, -6.36792613499e-16, 9.69945600505e-17, 3.49513647996e-15, 0.556213017751, 
0.01525, 2.3396229124, 1.35926083138e-213, 300.0, 0.84946275071905042, 0.295857988166, -2.83362949849e-19, -9.62514118507e-15, 0.147928994083, -1.33016037525e-17, -3.33256713792e-15, -1.06298733438e-14, 1.69060864541e-16, 5.32934854669e-16, -3.6027098838e-22, -2.183469975e-15, -1.2658061985e-15, -2.53235222474e-29, -4.75475280347e-15, -6.367904247e-16, 9.69945600216e-17, 3.49495870318e-15, 0.556213017751, 
0.02, 2.33962291237, 1.35928343758e-213, 300.0, 0.84946275072894872, 0.295857988157, -2.43299226705e-19, -8.36179430413e-15, 0.147928994085, -1.15541311993e-17, -4.39912974937e-15, -1.29544502411e-14, 5.45336149685e-17, 3.35581998595e-16, 5.30863277301e-22, -1.76872482043e-15, -1.6805974044e-15, -2.17431209155e-29, -4.55718637758e-15, -6.3678865642e-16, 9.69945603557e-17, 3.49477976529e-15, 0.556213017759, 
0.0209611658812, 2.33962291193, 1.3592832062e-213, 300.000000001, 0.84946275088878964, 0.295857988007, -2.3521312256e-19, -8.1033990806e-15, 0.147928994117, -1.11970243973e-17, -4.40096687831e-15, -1.33967470257e-14, 3.38083196119e-17, 2.9992643459e-16, 5.43132535701e-22, -1.68864513866e-15, -1.76070098595e-15, -2.10204846927e-29, -4.52147713441e-15, -6.36788311693e-16, 9.69945603756e-17, 3.49474351363e-15, 0.556213017876, 
0.0219223317625, 2.33962289971, 1.35928272852e-213, 300.000000061, 0.84946275529744808, 0.29585798381, -2.08945583215e-19, -7.0966459947e-15, 0.147928995024, -9.80652833794e-18, 1.17266889724e-14, -1.27526897073e-14, 1.48937472619e-16, 2.68043222939e-16, 5.43727340124e-22, -1.61217147122e-15, -1.83719091956e-15, -1.8673022677e-29, -4.489544866e-15, -6.36787897093e-16, 9.69945614457e-17, 3.49470725121e-15, 0.556213021166, 
0.0224029147031, 2.33962277266, 1.35928248208e-213, 300.000001186, 0.84946280089451454, 0.295857939099, 2.06456637976e-19, 9.67602899057e-15, 0.147929004688, 1.38821295862e-17, 4.93563792077e-13, 2.07973814674e-14, 4.575699434e-15, 2.53007788874e-16, 5.43603117671e-22, -1.57483037873e-15, -1.8745432789e-15, 1.84503075286e-29, -4.47444019061e-15, -6.36784234713e-16, 9.69945740033e-17, 3.49468955832e-15, 0.556213056213, 
0.0228834976437, 2.33962102137, 1.35928225851e-213, 300.000029566, 0.8494634295244845, 0.295857289275, 1.34287188501e-17, 4.89019371325e-13, 0.147929145115, 8.41204428338e-16, 1.96302189472e-11, 1.46610163803e-12, 1.9824484131e-13, 2.38940445918e-16, 5.52529482518e-22, -1.53833962194e-15, -1.91103810391e-15, 1.20009915731e-27, -4.45849026656e-15, -6.36603230086e-16, 9.6995041083e-17, 3.4946857582e-15, 0.556213565588, 
0.023123789114, 2.33961217861, 1.35928215491e-213, 300.000301641, 0.84946660941927754, 0.295853668542, 3.07247576749e-16, 5.71853850163e-12, 0.147929927403, 2.61634412303e-14, 3.06994904169e-10, 2.4931953584e-11, 3.39261438263e-12, 2.33779223628e-16, 1.45288580382e-21, -1.52025285748e-15, -1.92907054113e-15, 2.74594207651e-26, -4.4231148233e-15, -6.33098832016e-16, 9.70037148266e-17, 3.49488657264e-15, 0.556216403713, 
0.0233640805843, 2.33955517377, 1.3592824211e-213, 300.003870256, 0.84948714855295804, 0.29582557931, 1.5549883227e-14, 8.30992927362e-11, 0.147935994081, 1.59026301403e-12, 6.1562981796e-09, 5.42185238199e-10, 7.47041765271e-11, 2.56308157462e-16, 5.66667780644e-20, -1.50147962945e-15, -1.94682313858e-15, 1.39002616976e-24, -3.77858008563e-15, -5.41614638174e-16, 9.72449694936e-17, 3.49936636124e-15, 0.556238419751, 
0.0234842263195, 2.33943888576, 1.35928317714e-213, 300.021869775, 0.84952910178587671, 0.295740390504, 4.33521526202e-13, 5.22102379284e-10, 0.147954377953, 4.64291997001e-11, 5.14986483281e-08, 4.84570955093e-09, 6.80571839223e-10, 4.41584925625e-16, 1.31308797161e-18, -1.4872333017e-15, -1.95479738322e-15, 3.87869078933e-23, 1.66285783222e-15, 3.64852524594e-16, 9.98658721044e-17, 3.53711814053e-15, 0.55630517395, 
0.0236043720547, 2.33930933616, 1.35928471943e-213, 300.148940492, 0.84957565097335108, 0.295367692116, 1.06120657507e-11, 3.97970240098e-09, 0.148034658009, 1.14435072456e-09, 5.34624408405e-07, 5.35237104887e-08, 7.7433318871e-09, 2.10182455241e-15, 2.561110128e-17, -1.43665124843e-15, -1.95255300773e-15, 9.55039519258e-22, 6.53278594632e-14, 1.26319966112e-14, 1.38994674216e-16, 3.97585460472e-15, 0.556597048849, 
0.0236644449222, 2.34008280908, 1.35928475164e-213, 300.501239056, 0.84929487072077459, 0.294710196751, 1.08128805971e-10, 1.46352000887e-08, 0.148175704876, 1.14767117334e-08, 2.51791809765e-06, 2.60084382639e-07, 3.9431224632e-08, 7.80461614024e-15, 2.05628026413e-16, -1.30682062941e-15, -1.90822427088e-15, 9.88537338579e-21, 3.52614277122e-13, 7.6203493734e-14, 3.63213530462e-16, 5.94739281911e-15, 0.557111254719, 
0.023694481356, 2.34234519528, 1.35928444192e-213, 301.077555887, 0.84847521365706835, 0.293966806497, 4.63201360853e-10, 3.37403024009e-08, 0.148333992441, 4.76211780583e-08, 7.07180613655e-06, 7.45250403311e-07, 1.18149383865e-07, 1.89382999194e-14, 7.32698252618e-16, -1.08566580292e-15, -1.79348176527e-15, 4.34289901281e-20, 1.07235767408e-12, 2.5589835792e-13, 1.06095937902e-15, 1.08643705326e-14, 0.55769118403, 
0.0237245177898, 2.34953004768, 1.35928380503e-213, 302.525732827, 0.8458824218631632, 0.292602611962, 2.0102156878e-09, 8.5792347161e-08, 0.14862081423, 1.95480353926e-07, 2.24716370112e-05, 2.43093698248e-06, 4.03491060396e-07, 5.1442311419e-14, 2.62754489854e-15, -5.03274499959e-16, -1.3868945947e-15, 2.00601109998e-19, 3.7097009063e-12, 9.88136950015e-13, 4.17697109157e-15, 2.87911806558e-14, 0.558750984455, 
0.0237395360067, 2.35820828845, 1.35928447085e-213, 304.06896124, 0.84277132655250597, 0.291495391353, 5.07162829243e-09, 1.46306580804e-07, 0.148848928161, 4.45013090871e-07, 4.38198944118e-05, 4.82233236969e-06, 8.21925658761e-07, 9.10279469813e-14, 5.41443359865e-15, 1.45369543131e-16, -8.0500010766e-16, 5.40296058266e-19, 7.66621775907e-12, 2.17865224517e-12, 9.76591855364e-15, 5.54806660168e-14, 0.559605619932, 
0.0237545542236, 2.37449745974, 1.35928472895e-213, 306.770309483, 0.8369924343387275, 0.289936174848, 1.42515627124e-08, 2.60611045815e-07, 0.149161359577, 1.03700664444e-06, 9.00794520484e-05, 1.01573028898e-05, 1.77000187652e-06, 1.6805417587e-13, 1.13724499198e-14, 1.31938031734e-15, 4.8643530208e-16, 1.6987603062e-18, 1.68576393054e-11, 5.12350805891e-12, 2.48918679955e-14, 1.1698045235e-13, 0.560799146927, 
