 Adding reactor (none)
Initializing reactor network.
Reactor 0: 55 variables.
            0 sensitivity params.
Number of equations: 55
Maximum time step:            1e-05
 1.000e-05   1001.000 101325.000   6.207690e+05
 2.000e-05   1001.000 101325.000   6.207690e+05
 3.000e-05   1001.000 101325.000   6.207690e+05
 4.000e-05   1001.000 101325.000   6.207690e+05
 5.000e-05   1001.000 101325.000   6.207690e+05
 6.000e-05   1001.000 101325.000   6.207690e+05
 7.000e-05   1001.000 101325.000   6.207690e+05
 8.000e-05   1001.000 101325.000   6.207689e+05
 9.000e-05   1001.001 101325.000   6.207689e+05
 1.000e-04   1001.001 101325.000   6.207687e+05
 1.100e-04   1001.001 101325.000   6.207686e+05
 1.200e-04   1001.002 101325.000   6.207683e+05
 1.300e-04   1001.003 101325.000   6.207679e+05
 1.400e-04   1001.005 101325.000   6.207673e+05
 1.500e-04   1001.008 101325.000   6.207663e+05
 1.600e-04   1001.012 101325.000   6.207648e+05
 1.700e-04   1001.019 101325.000   6.207625e+05
 1.800e-04   1001.030 101325.000   6.207588e+05
 1.900e-04   1001.047 101325.000   6.207528e+05
 2.000e-04   1001.075 101325.000   6.207432e+05
 2.100e-04   1001.121 101325.000   6.207272e+05
 2.200e-04   1001.200 101325.000   6.206998e+05
 2.300e-04   1001.340 101325.000   6.206504e+05
 2.400e-04   1001.605 101325.000   6.205558e+05
 2.500e-04   1002.143 101325.000   6.203620e+05
 2.600e-04   1003.307 101325.000   6.199379e+05
 2.700e-04   1005.923 101325.000   6.189783e+05
 2.800e-04   1011.832 101325.001   6.168062e+05
 2.900e-04   1025.564 101325.002   6.117618e+05
 3.000e-04   1061.252 101325.005   5.986882e+05
 3.100e-04   1190.870 101325.025   5.516348e+05
 3.200e-04   1697.335 101325.031   3.765645e+05
 3.300e-04   1941.724 101325.013   2.989383e+05
 3.400e-04   2076.010 101325.008   2.577833e+05
 3.500e-04   2167.611 101325.006   2.303067e+05
 3.600e-04   2236.252 101325.005   2.100299e+05
 3.700e-04   2290.520 101325.004   1.941864e+05
 3.800e-04   2334.938 101325.003   1.813407e+05
 3.900e-04   2372.181 101325.002   1.706540e+05
 4.000e-04   2403.961 101325.002   1.615953e+05
 4.100e-04   2431.438 101325.002   1.538075e+05
 4.200e-04   2455.436 101325.002   1.470394e+05
 4.300e-04   2476.561 101325.001   1.411076e+05
 4.400e-04   2495.270 101325.001   1.358741e+05
 4.500e-04   2511.921 101325.001   1.312323e+05
 4.600e-04   2526.798 101325.001   1.270978e+05
 4.700e-04   2540.129 101325.001   1.234030e+05
 4.800e-04   2552.105 101325.001   1.200921e+05
 4.900e-04   2562.883 101325.001   1.171188e+05
 5.000e-04   2572.599 101325.001   1.144442e+05
 5.100e-04   2581.367 101325.001   1.120348e+05
 5.200e-04   2589.287 101325.001   1.098621e+05
 5.300e-04   2596.447 101325.000   1.079012e+05
 5.400e-04   2602.923 101325.000   1.061300e+05
 5.500e-04   2608.782 101325.000   1.045295e+05
 5.600e-04   2614.086 101325.000   1.030826e+05
 5.700e-04   2618.887 101325.000   1.017742e+05
 5.800e-04   2623.235 101325.000   1.005907e+05
 5.900e-04   2627.172 101325.000   9.951999e+04
 6.000e-04   2630.738 101325.000   9.855130e+04
 6.100e-04   2633.967 101325.000   9.767484e+04
 6.200e-04   2636.891 101325.000   9.688181e+04
 6.300e-04   2639.539 101325.000   9.616428e+04
 6.400e-04   2641.936 101325.000   9.551512e+04
 6.500e-04   2644.107 101325.000   9.492784e+04
 6.600e-04   2646.073 101325.000   9.439662e+04
 6.700e-04   2647.852 101325.000   9.391616e+04
 6.800e-04   2649.462 101325.000   9.348170e+04
 6.900e-04   2650.919 101325.000   9.308890e+04
 7.000e-04   2652.237 101325.000   9.273385e+04
 7.100e-04   2653.429 101325.000   9.241300e+04
 7.200e-04   2654.507 101325.000   9.212315e+04
 7.300e-04   2655.482 101325.000   9.186137e+04
 7.400e-04   2656.363 101325.000   9.162504e+04
 7.500e-04   2657.159 101325.000   9.141177e+04
 7.600e-04   2657.878 101325.000   9.121939e+04
 7.700e-04   2658.528 101325.000   9.104594e+04
 7.800e-04   2659.114 101325.000   9.088965e+04
 7.900e-04   2659.642 101325.000   9.074891e+04
 8.000e-04   2660.119 101325.000   9.062226e+04
 8.100e-04   2660.549 101325.000   9.050838e+04
 8.200e-04   2660.935 101325.000   9.040607e+04
 8.300e-04   2661.283 101325.000   9.031424e+04
 8.400e-04   2661.596 101325.000   9.023191e+04
 8.500e-04   2661.878 101325.000   9.015819e+04
 8.600e-04   2662.130 101325.000   9.009228e+04
 8.700e-04   2662.356 101325.000   9.003343e+04
 8.800e-04   2662.559 101325.000   8.998099e+04
 8.900e-04   2662.740 101325.000   8.993435e+04
 9.000e-04   2662.902 101325.000   8.989298e+04
 9.100e-04   2663.046 101325.000   8.985636e+04
 9.200e-04   2663.174 101325.000   8.982407e+04
 9.300e-04   2663.287 101325.000   8.979569e+04
 9.400e-04   2663.388 101325.000   8.977085e+04
 9.500e-04   2663.476 101325.000   8.974923e+04
 9.600e-04   2663.554 101325.000   8.973051e+04
 9.700e-04   2663.622 101325.000   8.971443e+04
 9.800e-04   2663.682 101325.000   8.970074e+04
 9.900e-04   2663.733 101325.000   8.968921e+04
 1.000e-03   2663.777 101325.000   8.967964e+04
To view a plot of these results, run this script with the option -plot
