z (m), u (m/s), V (1/s), T (K), rho (kg/m3, H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, AR, N2, 
0.0, 0.053038725761858821, -5.4372369704654403e-23, 300.0, 1.1312488966910135, -1.9945217445133332e-15, 1.2094553919729598e-17, 5.6719881818570684e-19, 0.19178082191779233, -2.9194243827112552e-17, 5.3626151759432039e-14, -8.1549581186632036e-19, -3.6781075398696255e-18, 2.9250852163085021e-17, -6.6063015748939551e-33, -9.2816281576462901e-18, -1.0195279602131537e-32, 1.7158331815891619e-19, 0.08675799086754736, 6.5063225456234515e-19, 5.4040551612532168e-16, -6.8364150068620077e-26, -1.1133038812038128e-18, 1.0533680513334912e-40, -6.6462680299310024e-31, -2.0843201678185128e-19, 1.3650775231004094e-17, 1.2654449253893216e-19, -3.742082057884018e-17, -1.4422295759443158e-20, -2.3155640283240098e-32, 1.2928894828431904e-17, 1.6172556575766494e-38, -2.9917821232840703e-27, -1.3009194509932187e-27, 0.0091324200913241588, 0.71232876712328397, 
0.01, 0.052390331586540814, 0.064839417611036787, 300.00000000442748, 1.1312488966741121, -7.5819118282526183e-16, 2.1530248808781137e-24, 9.8052200011534829e-18, 0.19178082191737281, -4.7440211270413572e-21, 1.3061932562669986e-12, -2.1584486863370921e-17, -3.6721418866881076e-18, 9.4366854612331488e-25, -5.3631984660032144e-41, -6.1120432522502181e-24, -2.4444584392587691e-31, 4.2043536309937192e-18, 0.086757990866805593, 1.7248520640883614e-17, 1.8632544052422058e-14, -2.3666142301652025e-24, -3.8849999559536573e-17, 3.7016926056769951e-39, -2.3355966354551067e-29, -1.9923554954094753e-19, 2.6707266842466668e-25, -1.7907678503143951e-19, -8.5605395948055161e-24, 3.5540292619458606e-20, -8.4401564649988172e-31, 1.4363874164505129e-17, 3.5441957872838273e-37, -2.977039372319178e-27, -1.2981180259896915e-27, 0.009132420091322908, 0.71232876712317472, 
0.02, 0.050445149076688928, 0.12967883524922874, 300.00000011176024, 1.131248896264146, 8.7729944304265724e-15, -4.0657797244967075e-30, 3.3459054610088908e-18, 0.19178082190626122, 1.9626395517699648e-21, 3.1458162746279517e-11, -1.9397522059664989e-17, -2.1665583200083189e-18, 2.9376349905091272e-32, 8.5478427059730935e-47, -3.8817077457999442e-30, -6.4323176231924908e-38, 1.5692440846846533e-17, 0.086757990849460051, 1.8823722001639836e-17, 6.3516424957098914e-13, -1.0296734959460534e-30, 8.9002098265474408e-19, 6.8514776893092999e-39, -6.2653875730968369e-30, 1.2384256856398735e-19, 5.0372445181518528e-33, -1.787839812095722e-19, -1.8878628449044755e-30, 1.7195998284003515e-18, 6.3569288444746683e-30, 7.2957703570702838e-17, 1.2126206617739629e-37, -2.390300365706132e-27, -1.1865435675111432e-27, 0.0091324200912961846, 0.71232876712088045, 
0.029999999999999999, 0.047203178604995115, 0.19451825358404901, 300.00000262124087, 1.1312488866740629, 7.98770480977009e-14, 3.1587424889108717e-32, 1.0949124713478408e-18, 0.19178082162221388, 6.4331949904292383e-22, 7.3144273334975316e-10, 3.3098523663362364e-17, 3.7398217759019127e-17, 8.5909566052960512e-40, 1.8576371005960713e-52, 1.6686248442119857e-36, 1.8622906984563877e-37, 4.7552044177417977e-17, 0.086757990458331491, 5.8618245782079178e-17, 2.0883123020268804e-11, 1.3179683510455194e-34, 1.3217938627461546e-15, 5.7379375699139727e-38, 3.8360115901058677e-28, 1.1064382392953684e-17, 8.909936710829333e-41, -1.6966168406076949e-19, -3.9011960086182633e-37, 5.6113598832165145e-17, 1.2416606212504698e-29, 2.0745207886443385e-15, 4.2871713119957252e-38, 2.0132338843219045e-26, 3.0963679937817014e-27, 0.0091324200907681504, 0.71232876707627724, 
0.040000000000000001, 0.042664427602400745, 0.25935768882758231, 300.00005768441486, 1.1312486761670602, 5.8080303258091911e-13, 1.5528934025662109e-31, 3.3575326555648282e-19, 0.19178081480167891, 1.9736284005068629e-22, 1.5982362472890848e-08, 1.2729869811630269e-15, 9.810947439062884e-16, 2.2856069084502385e-47, -9.2952184400246777e-45, 1.0387302257924106e-35, 5.0930227684221943e-37, 7.7291107921780011e-16, 0.086757982181288065, 1.0018929850666647e-15, 6.4442570966169661e-10, 1.2883737151809536e-33, 4.2490046038866478e-14, 5.5766309415255305e-37, 1.8262977572907104e-25, 3.5844185350790699e-16, 1.4317204850579613e-48, 9.6800962003011256e-20, 1.1843010492933875e-38, 1.7035884746675663e-15, 1.8536121651913104e-29, 6.7650523556038222e-14, 4.169674411383501e-38, 8.3057391087494665e-25, 1.5721017091146224e-25, 0.0091324200815400131, 0.71232876630800779, 
0.050000000000000003, 0.036829024402047668, 0.32419749324618896, 300.00115500411243, 1.1312444803229558, 3.8186406907860246e-12, 7.6572416959268331e-31, 9.3443555703147981e-20, 0.19178066590721968, 9.3270259242819038e-23, 3.1777733198388847e-07, 2.791563374755239e-14, 2.1388602101457951e-14, 5.3051344976013405e-55, 1.4496222357824677e-42, 5.5250341429574454e-35, 2.8473444387300423e-36, 1.5368804039544479e-14, 0.086757823065475831, 2.1301660737143953e-14, 1.8060160846408491e-08, 3.3010109819962101e-32, 1.2061513292241927e-12, 6.6015259148788086e-36, 7.9522452259811027e-23, 1.0360981453377242e-14, 1.8488799825688316e-50, 7.1573817805032014e-18, 5.0702999650113529e-36, 4.6962329734706412e-14, 1.2581610854409662e-29, 2.018482616620206e-12, 2.2214537052662611e-37, 2.7266789760477875e-23, 5.1843286007435495e-24, 0.009132419946967129, 0.71232875523565808, 
0.059999999999999998, 0.029698768830650115, 0.38904404050796987, 300.02018141821611, 1.1311717398241592, 2.2326401175939935e-11, 4.2269002667411341e-30, 2.2810758039514103e-20, 0.19177783481312788, 1.25629617129337e-20, 5.5139865249719295e-06, 5.2578371366854835e-13, 4.0507989796249372e-13, 1.0430980962253488e-62, -3.1784494412604704e-41, 1.2214455128257702e-31, 6.346504541716278e-33, 2.682673964830639e-13, 0.086755160349746174, 4.0116583492186475e-13, 4.4031202109956674e-07, 1.168459573348109e-29, 2.9756698279187812e-11, 3.1218565869528695e-33, 2.6037361096195828e-20, 2.6033696405776082e-13, 6.0091869763459345e-47, 1.6961170379109568e-16, 2.2293265513775277e-33, 1.1263584737534921e-12, 4.9950606835305211e-28, 5.2383588050795857e-11, 1.2381721689203277e-36, 7.7522548598827949e-22, 1.4741637021250269e-22, 0.0091324184394379719, 0.71232863199168805, 
0.065000000000000002, 0.025655728221176725, 0.42150470283209557, 300.12368139285138, 1.1307763899676626, 5.7963262589285823e-11, 1.2618784951714771e-28, 1.2771740532090692e-20, 0.19176096689882743, 5.0155759348841455e-19, 3.3584069283051934e-05, 3.4367556731032748e-12, 2.6614724426750234e-12, 1.0367745428406804e-65, 4.5873382016386382e-40, 2.9851186141916242e-29, 1.5513143058642628e-30, 1.641930971669826e-12, 0.086741156550795714, 2.6249775244950464e-12, 3.6184193446001002e-06, 1.0771242155910435e-27, 2.4714014802617519e-10, 8.0942018957201286e-31, 1.0423298201714813e-18, 2.1981240142418984e-12, 1.9010961118969041e-44, 1.3316032860363295e-15, 1.4374062946630787e-31, 9.1212783031074521e-12, 1.5332633414716098e-25, 4.5539072132272148e-10, 5.5861963834880255e-36, 7.3198254828339338e-21, 1.3919393987121676e-21, 0.0091324139061077902, 0.71232825937346134, 
0.070000000000000007, 0.021332051710008824, 0.45421873489606929, 300.8152365626853, 1.128144225355395, 1.5191769869453479e-10, 3.0723684785076415e-26, 6.2972800249728693e-20, 0.19163804708530122, 2.2906641776430495e-17, 0.00021966450428918848, 2.4227950631321423e-11, 1.8865029675634534e-11, -1.4722996302382863e-63, -1.4990080040239084e-39, 8.9690429036549423e-27, 4.6674911570982742e-28, 1.0804594996030435e-11, 0.086650510051515847, 1.8527041071152109e-11, 3.2448706138721055e-05, 2.6759413811758059e-25, 2.2407434442010376e-09, 3.250553390750422e-28, 4.8162894458794395e-17, 2.0276575334092718e-11, 7.8909767679427205e-42, 1.13737003906699e-14, 2.211725728173315e-29, 8.0545856583247345e-11, 6.1302883172335157e-23, 4.3312604729202363e-09, 2.5064912545511724e-34, 7.5882528003391436e-20, 1.4429842796949084e-20, 0.0091323979931814906, 0.71232692476239345, 
0.075000000000000011, 0.016870976755332386, 0.48835672668738156, 304.74574243006003, 1.1134349286950511, 3.7117642082052365e-10, 6.0022081186016665e-24, 7.6198073551526089e-19, 0.19088075675539326, 7.5567700152299087e-16, 0.0012613310625861015, 1.4967424378996329e-10, 1.1700973535819343e-10, -7.8201546030601445e-59, -2.4620445592095987e-37, 1.7161820561021337e-24, 8.9968835065327526e-26, 6.2735362899821771e-11, 0.086153239375822338, 1.1450691084959142e-10, 0.0002517440710071299, 6.28604226673779e-23, 1.7557002612325643e-08, 8.420490855015116e-26, 1.6944795589143463e-15, 1.6152439388393153e-10, 2.7308645792911908e-39, 8.4230444979990739e-14, 4.656512460579396e-27, 6.1568567053482429e-10, 1.5741001424148051e-20, 3.5545236389369009e-08, 2.4374598423435232e-32, 6.7603257141071394e-19, 1.2855455051229938e-19, 0.0091323206259747922, 0.71232055341457801, 
