  Grid,   Temperature,   Uvec,   H2O+,    O-,   O2-
   0.000e+00,   3.000e+02,   1.021e+00,  -4.714e-22,   1.054e-21,   4.759e-24
   1.000e-02,   3.000e+02,   1.021e+00,  -4.714e-22,   7.698e-29,   2.115e-21
   2.000e-02,   3.000e+02,   1.021e+00,  -4.714e-22,  -7.742e-35,   2.115e-21
   3.000e-02,   3.000e+02,   1.021e+00,  -4.714e-22,  -6.074e-35,   2.115e-21
   3.500e-02,   3.000e+02,   1.021e+00,  -4.714e-22,  -5.132e-35,   2.115e-21
   4.000e-02,   3.000e+02,   1.021e+00,  -4.714e-22,  -4.335e-35,   2.115e-21
   4.250e-02,   3.000e+02,   1.021e+00,  -4.714e-22,  -3.971e-35,   2.115e-21
   4.375e-02,   3.000e+02,   1.021e+00,  -4.708e-22,  -3.796e-35,   2.115e-21
   4.500e-02,   3.000e+02,   1.021e+00,  -4.425e-22,  -3.630e-35,   2.121e-21
   4.625e-02,   3.000e+02,   1.021e+00,   9.882e-22,  -3.473e-35,   2.444e-21
   4.688e-02,   3.000e+02,   1.021e+00,   2.831e-20,  -3.259e-35,   9.327e-21
   4.750e-02,   3.000e+02,   1.021e+00,   7.332e-19,   1.128e-33,   2.069e-19
   4.813e-02,   3.000e+02,   1.021e+00,   1.892e-17,   6.405e-31,   5.880e-18
   4.844e-02,   3.000e+02,   1.021e+00,   1.971e-16,   5.741e-29,   6.767e-17
   4.875e-02,   3.000e+02,   1.021e+00,   2.584e-15,   7.966e-27,   9.855e-16
   4.906e-02,   3.000e+02,   1.021e+00,   3.457e-14,   1.152e-24,   1.462e-14
   4.922e-02,   3.000e+02,   1.021e+00,   1.992e-13,   3.201e-23,   9.224e-14
   4.938e-02,   3.000e+02,   1.020e+00,   1.384e-12,   1.263e-21,   7.072e-13
   4.945e-02,   3.001e+02,   1.020e+00,   4.726e-12,   1.268e-20,   2.610e-12
   4.953e-02,   3.004e+02,   1.019e+00,   1.839e-11,   1.617e-19,   1.108e-11
   4.957e-02,   3.007e+02,   1.019e+00,   4.102e-11,   7.200e-19,   2.625e-11
   4.961e-02,   3.014e+02,   1.019e+00,   9.836e-11,   3.656e-18,   6.746e-11
   4.963e-02,   3.020e+02,   1.020e+00,   1.599e-10,   9.003e-18,   1.145e-10
   4.965e-02,   3.030e+02,   1.022e+00,   2.682e-10,   2.349e-17,   2.015e-10
   4.967e-02,   3.045e+02,   1.025e+00,   4.581e-10,   6.361e-17,   3.620e-10
   4.969e-02,   3.068e+02,   1.030e+00,   7.891e-10,   1.766e-16,   6.562e-10
   4.971e-02,   3.104e+02,   1.039e+00,   1.361e-09,   4.996e-16,   1.192e-09
   4.973e-02,   3.158e+02,   1.053e+00,   2.339e-09,   1.442e-15,   2.155e-09
   4.974e-02,   3.196e+02,   1.064e+00,   3.084e-09,   2.533e-15,   2.921e-09
   4.975e-02,   3.244e+02,   1.078e+00,   4.079e-09,   4.548e-15,   3.981e-09
   4.976e-02,   3.305e+02,   1.095e+00,   5.398e-09,   8.340e-15,   5.434e-09
   4.977e-02,   3.381e+02,   1.118e+00,   7.129e-09,   1.562e-14,   7.409e-09
   4.977e-02,   3.426e+02,   1.131e+00,   8.197e-09,   2.173e-14,   8.661e-09
   4.978e-02,   3.477e+02,   1.146e+00,   9.422e-09,   3.047e-14,   1.013e-08
   4.978e-02,   3.533e+02,   1.163e+00,   1.082e-08,   4.308e-14,   1.184e-08
   4.979e-02,   3.596e+02,   1.182e+00,   1.242e-08,   6.137e-14,   1.383e-08
   4.979e-02,   3.667e+02,   1.204e+00,   1.422e-08,   8.803e-14,   1.612e-08
   4.979e-02,   3.745e+02,   1.227e+00,   1.625e-08,   1.271e-13,   1.877e-08
   4.980e-02,   3.831e+02,   1.254e+00,   1.853e-08,   1.843e-13,   2.179e-08
   4.980e-02,   3.926e+02,   1.283e+00,   2.108e-08,   2.684e-13,   2.523e-08
   4.981e-02,   4.031e+02,   1.315e+00,   2.389e-08,   3.916e-13,   2.911e-08
   4.981e-02,   4.145e+02,   1.351e+00,   2.699e-08,   5.714e-13,   3.348e-08
   4.982e-02,   4.269e+02,   1.389e+00,   3.038e-08,   8.322e-13,   3.835e-08
   4.982e-02,   4.403e+02,   1.430e+00,   3.407e-08,   1.207e-12,   4.375e-08
   4.983e-02,   4.474e+02,   1.452e+00,   3.604e-08,   1.454e-12,   4.667e-08
   4.983e-02,   4.548e+02,   1.475e+00,   3.809e-08,   1.749e-12,   4.974e-08
   4.983e-02,   4.623e+02,   1.499e+00,   4.022e-08,   2.100e-12,   5.296e-08
   4.983e-02,   4.702e+02,   1.523e+00,   4.242e-08,   2.517e-12,   5.632e-08
   4.984e-02,   4.783e+02,   1.548e+00,   4.470e-08,   3.010e-12,   5.983e-08
   4.984e-02,   4.866e+02,   1.574e+00,   4.705e-08,   3.592e-12,   6.348e-08
   4.984e-02,   4.951e+02,   1.600e+00,   4.947e-08,   4.276e-12,   6.728e-08
   4.984e-02,   5.039e+02,   1.628e+00,   5.196e-08,   5.077e-12,   7.122e-08
   4.985e-02,   5.129e+02,   1.656e+00,   5.451e-08,   6.013e-12,   7.531e-08
   4.985e-02,   5.220e+02,   1.684e+00,   5.713e-08,   7.104e-12,   7.953e-08
   4.985e-02,   5.410e+02,   1.743e+00,   6.251e-08,   9.804e-12,   8.829e-08
   4.986e-02,   5.606e+02,   1.804e+00,   6.810e-08,   1.339e-11,   9.754e-08
   4.986e-02,   5.808e+02,   1.867e+00,   7.388e-08,   1.810e-11,   1.072e-07
   4.987e-02,   6.015e+02,   1.931e+00,   7.983e-08,   2.425e-11,   1.174e-07
   4.987e-02,   6.226e+02,   1.996e+00,   8.592e-08,   3.221e-11,   1.278e-07
   4.988e-02,   6.441e+02,   2.063e+00,   9.211e-08,   4.244e-11,   1.386e-07
