grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0,0.726900879,300,1.33861236,0.154929577,4.93387039e-16,-4.84126673e-16,0.14084507,3.97637309e-16,1.79757153e-18,-3.87453949e-16,-3.03668592e-17,0.704225352,-1.50725451e-19
0.006,0.726900879,300,1.33861236,0.154929577,2.76369319e-20,-3.66309982e-16,0.14084507,1.24216063e-18,2.83801921e-16,2.14240411e-16,8.14425203e-18,0.704225352,2.75321532e-19
0.012,0.726900879,300,1.33861236,0.154929577,-7.72167922e-21,-2.79807643e-16,0.14084507,-3.89166248e-19,1.99606361e-16,-4.12209565e-17,4.05466759e-17,0.704225352,-1.25521169e-18
0.015,0.726900877,300,1.33861237,0.154929575,-7.65295492e-21,-2.41768768e-16,0.140845071,-3.6302677e-19,5.60985511e-16,-1.65037877e-16,5.62878814e-17,0.704225354,-3.05934442e-18
0.0165,0.726900859,300,1.3386124,0.154929553,-1.73104995e-21,-1.61862364e-16,0.140845074,-1.70102201e-19,1.37919789e-14,-1.45844071e-16,8.6436998e-17,0.704225372,-1.31092865e-18
0.018,0.726900604,300,1.33861287,0.154929236,5.71723534e-20,1.83515625e-15,0.140845127,2.73651965e-18,5.96816272e-13,2.24903059e-15,1.09385933e-15,0.704225637,4.61711689e-18
0.01875,0.726899195,300.000003,1.33861546,0.154927483,6.56300577e-19,2.66197463e-14,0.140845419,3.5979252e-17,1.02957284e-11,4.19164786e-14,1.97983442e-14,0.704227098,-6.63856002e-18
0.019125,0.72689497,300.000019,1.33862325,0.154922202,4.84847373e-18,1.84040451e-13,0.140846296,2.54922355e-16,9.34101271e-11,4.07732526e-13,2.00858923e-13,0.704231501,2.93992903e-18
0.0195,0.726876777,300.000168,1.33865675,0.154899225,4.02062955e-17,1.54908575e-12,0.140850115,2.13596075e-15,1.07088363e-09,5.13929217e-12,2.59716717e-12,0.704250659,-1.02556892e-17
0.019875,0.726799284,300.0015,1.3387995,0.154799245,3.50439007e-16,1.33822278e-11,0.140866731,1.86951059e-14,1.25679058e-08,6.67017472e-11,3.43180725e-11,0.704334012,3.62150919e-17
0.0200625,0.726668773,300.006143,1.33903996,0.154623601,1.46912071e-15,5.33282014e-11,0.140895912,8.2028074e-14,6.47208727e-08,3.75820351e-10,1.95762101e-10,0.704480421,4.77181436e-18
0.02025,0.726345784,300.02928,1.33963541,0.154153576,8.6439354e-15,2.45312272e-10,0.140973945,5.72301508e-13,3.9761825e-07,2.55702864e-09,1.34541667e-09,0.704872077,5.98661185e-17
0.0204375,0.725613017,300.144818,1.34098823,0.152895492,9.12971021e-14,1.16842603e-09,0.141182439,7.92118429e-12,2.52349551e-06,1.79648753e-08,9.53577166e-09,0.705919517,1.57516311e-17
0.02053125,0.725033512,300.376161,1.34205996,0.151475813,7.26132716e-13,2.95296815e-09,0.141416789,7.09917456e-11,7.87818668e-06,6.06843227e-08,3.24216039e-08,0.707099424,2.9248393e-16
0.020578125,0.724810244,300.666179,1.34247326,0.150320652,2.80559744e-12,5.12490131e-09,0.141606265,2.80290075e-10,1.59523481e-05,1.30496308e-07,7.00619505e-08,0.708056924,4.97139142e-17
0.020625,0.724910555,301.248667,1.3422873,0.148683546,1.05156953e-11,9.37767347e-09,0.141872282,1.05442785e-09,3.48580156e-05,3.05734068e-07,1.65042143e-07,0.709408833,-3.29175501e-16
0.020671875,0.7258931,302.420598,1.34047014,0.146366164,4.01616222e-11,1.77693758e-08,0.142242785,3.95542442e-09,7.9045471e-05,7.45081772e-07,4.03989825e-07,0.711310834,1.93070355e-16
0.02071875,0.728978563,304.781784,1.33479609,0.14309398,1.5936948e-10,3.46487428e-08,0.142751405,1.48919991e-08,0.000181914729,1.84557593e-06,1.00083228e-06,0.713969804,1.1556209e-15
0.0207421875,0.732279677,306.860884,1.32877863,0.140958957,3.66852777e-10,5.00965064e-08,0.143070245,3.20610987e-08,0.000284004418,3.01910869e-06,1.62601251e-06,0.715682066,5.11186803e-16
0.020765625,0.737756037,309.992193,1.31891494,0.138398368,8.74222483e-10,7.43820165e-08,0.143435011,6.92459774e-08,0.000452187342,5.07553326e-06,2.69948052e-06,0.717706514,-9.9987095e-17
0.0207890625,0.746580807,314.698189,1.30332494,0.135339567,2.26375196e-09,1.13924814e-07,0.143841278,1.52205527e-07,0.000727276467,8.68439697e-06,4.51613649e-06,0.720078409,-1.88280257e-15
0.0208007812,0.752905991,317.931129,1.29237567,0.133592876,4.11036686e-09,1.44363379e-07,0.144054919,2.35273757e-07,0.000929060612,1.15232336e-05,5.87171464e-06,0.721405366,-1.40424711e-15
0.0208125,0.760987819,321.961504,1.27865044,0.131686069,7.89068906e-09,1.85890625e-07,0.144269962,3.68110391e-07,0.00119234352,1.54358149e-05,7.65928973e-06,0.722827969,1.77757025e-15
0.0208242187,0.771247267,326.973709,1.26164136,0.129609918,1.64205001e-08,2.43747002e-07,0.144480234,5.848691e-07,0.00153409156,2.08270751e-05,9.98840055e-06,0.724344096,6.52603803e-16
0.0208359375,0.784185213,333.187188,1.24082614,0.127356468,3.71442448e-08,3.2635894e-07,0.144677359,9.46942929e-07,0.00197492385,2.82455594e-05,1.29758768e-05,0.725948717,8.43453051e-15
0.0208417969,0.791886751,336.843829,1.22875846,0.126160128,5.95588352e-08,3.82238397e-07,0.144766879,1.2253217e-06,0.00224206408,3.29907311e-05,1.4759037e-05,0.726781512,9.9682563e-16
0.0208476562,0.800544068,340.925485,1.21547034,0.124916377,9.58410549e-08,4.51001497e-07,0.144847661,1.59573996e-06,0.00254608645,3.85928565e-05,1.6761972e-05,0.727632379,7.51909579e-15
0.0208535156,0.81025436,345.474707,1.20090387,0.123624899,1.55177768e-07,5.36252857e-07,0.14491757,2.09166658e-06,0.00289119023,4.51800885e-05,1.89946429e-05,0.728499383,6.65847545e-16
0.020859375,0.821120315,350.536501,1.18501223,0.122285605,2.52229858e-07,6.42753278e-07,0.144974246,2.75937259e-06,0.00328183182,5.28839723e-05,2.14615545e-05,0.729380318,-2.47697618e-15
0.0208652344,0.833249274,356.157978,1.16776293,0.120898649,4.10093283e-07,7.76803596e-07,0.145015106,3.66255602e-06,0.00372268683,6.18295181e-05,2.41597493e-05,0.730272719,8.93213967e-15
0.0208710937,0.846752009,362.387828,1.14914119,0.119464452,6.64489991e-07,9.46742768e-07,0.145037374,4.88819423e-06,0.00421859758,7.2120478e-05,2.70766977e-05,0.73117388,9.99286321e-15
0.0208769531,0.861741036,369.275601,1.12915313,0.117983705,1.06950658e-06,1.16357967e-06,0.145038104,6.5535444e-06,0.00477450454,8.38195108e-05,3.01883236e-05,0.732080892,-7.78245555e-15
0.0208828125,0.878328398,376.870744,1.10782886,0.116457381,1.705156e-06,1.44177049e-06,0.145014237,8.81383477e-06,0.00539536084,9.69240737e-05,3.34575081e-05,0.732990679,-2.59737352e-15
0.0208857422,0.887266736,380.953418,1.09666855,0.115677354,2.15338962e-06,1.61107667e-06,0.144991858,1.02436474e-05,0.00573218985,0.000103971834,3.51327166e-05,0.733445486,-8.39651488e-15
0.0208886719,0.896658213,385.236402,1.08518217,0.114886326,2.70800714e-06,1.80383392e-06,0.144961845,1.1907787e-05,0.00608765708,0.000111334939,3.68277658e-05,0.73389959,2.52877532e-15
0.0208916016,0.906516083,389.725571,1.07338137,0.114084506,3.39168225e-06,2.02336143e-06,0.144923783,1.38402968e-05,0.00646237469,0.000118980571,3.85340441e-05,0.734352566,4.17518338e-15
0.0208945313,0.916852893,394.426499,1.06127978,0.113272121,4.230916e-06,2.27340315e-06,0.144877265,1.60785815e-05,0.00685693207,0.000126867328,4.02422326e-05,0.73480399,7.49101328e-15
0.0208974609,0.927680335,399.344397,1.04889299,0.112449412,5.25648293e-06,2.5581632e-06,0.144821888,1.8663225e-05,0.00727189107,0.000134945078,4.19424306e-05,0.735253443,3.7684749e-15
0.0209003906,0.939009101,404.484042,1.03623848,0.111616635,6.50387349e-06,2.88233971e-06,0.144757265,2.16376424e-05,0.00770778116,0.000143155152,4.36243096e-05,0.735700515,8.96376048e-15
0.0209033203,0.950848722,409.849711,1.02333558,0.110774062,8.01371975e-06,3.25115601e-06,0.144683019,2.50475381e-05,0.0081650947,0.000151430915,4.52772897e-05,0.736144804,7.55462487e-15
0.02090625,0.963207418,415.445114,1.01020536,0.109921975,9.83218941e-06,3.6703884e-06,0.144598791,2.89401509e-05,0.00864428224,0.000159698739,4.68907346e-05,0.736585919,-2.89134684e-15
0.0209091797,0.976091948,421.273329,0.996870487,0.10906067,1.20113301e-05,4.14638948e-06,0.144504241,3.33632762e-05,0.00914574808,0.000167879356,4.84541545e-05,0.737023487,4.76120577e-15
0.0209121094,0.989507473,427.336737,0.983355101,0.10819045,1.46093449e-05,4.68610664e-06,0.144399048,3.83640689e-05,0.00966984619,0.000175889572,4.99574099e-05,0.737457149,1.90858668e-15
0.0209150391,1.00345742,433.636966,0.969684578,0.107311631,1.76907781e-05,5.29709575e-06,0.144282916,4.39876473e-05,0.0102168766,0.000183644271,5.13909056e-05,0.737886566,7.05761735e-15
0.0209179687,1.01794339,440.174846,0.955885331,0.106424533,2.13265917e-05,5.98753011e-06,0.144155571,5.02755386e-05,0.0107870821,0.000191058607,5.27457665e-05,0.73831142,3.31367672e-15
0.0209238281,1.0485069,453.957089,0.928021663,0.104627031,3.04807864e-05,7.63142052e-06,0.143866778,6.49391906e-05,0.0119967638,0.000204622152,5.5196234e-05,0.739146558,3.53640636e-15
0.0209296875,1.08112992,468.655243,0.900018649,0.102800562,4.28230374e-05,9.69686434e-06,0.143532064,8.25545197e-05,0.0132980203,0.00021602278,5.72618843e-05,0.739960995,4.42805814e-15
0.0209355469,1.11575434,484.24488,0.872089008,0.10094773,5.91143216e-05,1.2269458e-05,0.143150334,0.000103173698,0.0146905371,0.000224871736,5.89095901e-05,0.74075306,5.28222365e-15
0.0209414062,1.15229237,500.688487,0.844435974,0.0990711439,8.01776698e-05,1.54451428e-05,0.14272095,0.000126661345,0.0161730874,0.000230960486,6.01219942e-05,0.741521452,4.49911491e-15
0.0209472656,1.19062962,517.936747,0.817245914,0.0971733865,0.00010686719,1.93316489e-05,0.142243728,0.000152687454,0.0177436057,0.000234272271,6.08954745e-05,0.742265226,4.41489604e-15
0.020953125,1.23062956,535.930445,0.790682521,0.095256997,0.000140032122,2.40510866e-05,0.141718919,0.000180749476,0.0193992968,0.000234963805,6.12374224e-05,0.742983754,3.46208562e-15
0.0209589844,1.27213891,554.602788,0.764882977,0.0933244499,0.000180480055,2.97438078e-05,0.141147157,0.000210221157,0.0211367689,0.000233325027,6.11635657e-05,0.74367669,4.31160089e-15
0.0209648437,1.31499335,573.881872,0.739956235,0.0913781394,0.000228943683,3.65733778e-05,0.1405294,0.00024041928,0.0229521805,0.000229728419,6.06957806e-05,0.74434392,4.26709427e-15
0.0209707031,1.35902304,593.693075,0.715983209,0.0894203619,0.000286054619,4.47322114e-05,0.139866836,0.000270675884,0.0248413887,0.000224579101,5.98605174e-05,0.744985511,4.72911158e-15
